Date,Biomass,Hydro,Nuclear,Solar,Wind offshore,Wind onshore,Coal,Gas,Geothermal,Oil,Other,Hydro pumped storage,Load,Price,Price_Currency
2020-01-01 00:00:00,506.0,137.0,2450.0,0.0,0,100.0,3826.0,470.0,0,11.0,121.0,5.0,5550.0,30.4,EUR
2020-01-01 01:00:00,506.0,138.0,2447.0,0.0,0,91.0,3795.0,471.0,0,11.0,122.0,32.0,5560.0,28.53,EUR
2020-01-01 02:00:00,507.0,139.0,2450.0,0.0,0,104.0,3800.0,471.0,0,11.0,121.0,812.0,5496.0,27.37,EUR
2020-01-01 03:00:00,507.0,139.0,2450.0,0.0,0,104.0,3826.0,473.0,0,11.0,121.0,861.0,5500.0,26.38,EUR
2020-01-01 04:00:00,505.0,137.0,2451.0,0.0,0,63.0,3867.0,481.0,0,11.0,122.0,1060.0,5505.0,26.5,EUR
2020-01-01 05:00:00,509.0,139.0,2449.0,0.0,0,46.0,3912.0,508.0,0,11.0,133.0,1052.0,5500.0,27.01,EUR
2020-01-01 06:00:00,510.0,157.0,2450.0,9.0,0,41.0,3898.0,510.0,0,11.0,134.0,1045.0,5565.0,27.4,EUR
2020-01-01 07:00:00,507.0,205.0,2451.0,61.0,0,34.0,3808.0,500.0,0,11.0,133.0,1015.0,5564.0,27.99,EUR
2020-01-01 08:00:00,511.0,140.0,2451.0,291.0,0,32.0,3840.0,491.0,0,11.0,136.0,126.0,5946.0,27.71,EUR
2020-01-01 09:00:00,511.0,133.0,2453.0,585.0,0,15.0,3719.0,457.0,0,11.0,134.0,5.0,6260.0,28.4,EUR
2020-01-01 10:00:00,511.0,131.0,2450.0,771.0,0,10.0,3759.0,490.0,0,11.0,134.0,5.0,6373.0,28.98,EUR
2020-01-01 11:00:00,512.0,132.0,2450.0,822.0,0,7.0,3646.0,496.0,0,11.0,137.0,5.0,6360.0,29.5,EUR
2020-01-01 12:00:00,513.0,134.0,2449.0,657.0,0,12.0,3547.0,481.0,0,11.0,137.0,5.0,6421.0,29.43,EUR
