Date,Biomass,Hydro,Nuclear,Solar,Wind offshore,Wind onshore,Coal,Gas,Geothermal,Oil,Other,Hydro pumped storage,Load,Price,Price_Currency
2020-01-01 00:00:00,253.0,161.0,0,0.0,0,2503.0,8815.0,1264.0,0,220.0,0,-0.0,14053.0,34.67,EUR
2020-01-01 01:00:00,248.0,161.0,0,0.0,0,2500.0,8667.0,1243.0,0,220.0,0,-0.0,13564.0,33.3,EUR
2020-01-01 02:00:00,250.0,160.0,0,0.0,0,2396.0,8366.0,1228.0,0,220.0,0,-0.0,13112.0,31.91,EUR
2020-01-01 03:00:00,255.0,159.0,0,0.0,0,2305.0,8256.0,1236.0,0,220.0,0,-0.0,12943.0,27.54,EUR
2020-01-01 04:00:00,262.0,159.0,0,0.0,0,2337.0,8264.0,1236.0,0,220.0,0,-0.0,12970.0,26.62,EUR
2020-01-01 05:00:00,263.0,159.0,0,0.0,0,2335.0,8292.0,1246.0,0,221.0,0,-0.0,13125.0,25.83,EUR
2020-01-01 06:00:00,262.0,160.0,0,0.0,0,2168.0,8441.0,1265.0,0,221.0,0,-0.0,13036.0,26.02,EUR
2020-01-01 07:00:00,263.0,166.0,0,0.0,0,2209.0,8268.0,1235.0,0,222.0,0,-0.0,12978.0,26.99,EUR
2020-01-01 08:00:00,262.0,167.0,0,0.0,0,2337.0,8441.0,1258.0,0,223.0,0,-0.0,13483.0,31.4,EUR
2020-01-01 09:00:00,263.0,171.0,0,0.0,0,2489.0,8431.0,1284.0,0,223.0,0,-0.0,14095.0,34.23,EUR
2020-01-01 10:00:00,263.0,172.0,0,0.0,0,2721.0,8415.0,1276.0,0,223.0,0,-0.0,14645.0,35.04,EUR
2020-01-01 11:00:00,262.0,161.0,0,0.0,0,2867.0,8360.0,1261.0,0,222.0,0,-0.0,15127.0,36.1,EUR
2020-01-01 12:00:00,260.0,156.0,0,0.0,0,2947.0,8614.0,1294.0,0,222.0,0,-0.0,15676.0,36.66,EUR
2020-01-01 13:00:00,263.0,160.0,0,0.0,0,2898.0,8653.0,1296.0,0,223.0,0,-142.0,15779.0,36.6,EUR
2020-01-01 14:00:00,261.0,162.0,0,0.0,0,2856.0,8377.0,1289.0,0,222.0,0,-68.0,15865.0,33.26,EUR
2020-01-01 15:00:00,261.0,178.0,0,0.0,0,2923.0,9009.0,1334.0,0,222.0,0,-276.0,17043.0,35.28,EUR
2020-01-01 16:00:00,261.0,240.0,0,0.0,0,3108.0,9717.0,1368.0,0,222.0,0,-402.0,17353.0,36.79,EUR
2020-01-01 17:00:00,261.0,251.0,0,0.0,0,3161.0,9893.0,1288.0,0,222.0,0,-360.0,17432.0,36.25,EUR
2020-01-01 18:00:00,261.0,253.0,0,0.0,0,2990.0,10149.0,1318.0,0,222.0,0,-317.0,17496.0,37.67,EUR
2020-01-01 19:00:00,261.0,187.0,0,0.0,0,2789.0,9937.0,1314.0,0,222.0,0,-204.0,17223.0,36.71,EUR
2020-01-01 20:00:00,261.0,158.0,0,0.0,0,2641.0,9634.0,1329.0,0,222.0,0,-37.0,16507.0,36.78,EUR
2020-01-01 21:00:00,262.0,151.0,0,0.0,0,2503.0,9613.0,1366.0,0,223.0,0,-0.0,15783.0,37.26,EUR
2020-01-01 22:00:00,261.0,150.0,0,0.0,0,2428.0,9268.0,1323.0,0,222.0,0,-0.0,14801.0,35.3,EUR
2020-01-01 23:00:00,254.0,145.0,0,0.0,0,2339.0,9563.0,1395.0,0,223.0,0,-0.0,13978.0,33.31,EUR
2020-01-02 00:00:00,249.0,135.0,0,0.0,0,2351.0,9658.0,1414.0,0,223.0,0,-0.0,13549.0,30.71,EUR
2020-01-02 01:00:00,250.0,125.0,0,0.0,0,2399.0,9620.0,1367.0,0,223.0,0,-0.0,13335.0,28.1,EUR
2020-01-02 02:00:00,251.0,124.0,0,0.0,0,2378.0,9479.0,1372.0,0,223.0,0,-0.0,13273.0,28.14,EUR
2020-01-02 03:00:00,251.0,124.0,0,0.0,0,2504.0,9541.0,1316.0,0,223.0,0,-0.0,13679.0,28.78,EUR
2020-01-02 04:00:00,251.0,123.0,0,0.0,0,2771.0,9810.0,1246.0,0,223.0,0,-0.0,14682.0,33.76,EUR
2020-01-02 05:00:00,271.0,122.0,0,0.0,0,2905.0,10786.0,1340.0,0,224.0,0,-0.0,17356.0,36.97,EUR
2020-01-02 06:00:00,303.0,122.0,0,0.0,0,2956.0,12462.0,1550.0,0,224.0,0,-340.0,19426.0,41.14,EUR
2020-01-02 07:00:00,305.0,146.0,0,0.0,0,2932.0,13211.0,1613.0,0,224.0,0,-243.0,20505.0,42.13,EUR
2020-01-02 08:00:00,304.0,161.0,0,0.0,0,2904.0,13468.0,1601.0,0,224.0,0,-30.0,21299.0,42.58,EUR
2020-01-02 09:00:00,304.0,162.0,0,0.0,0,2666.0,13484.0,1478.0,0,227.0,0,-165.0,21491.0,40.92,EUR
