Date,Biomass,Hydro,Nuclear,Solar,Wind offshore,Wind onshore,Coal,Gas,Geothermal,Oil,Other,Hydro pumped storage,Load,Price,Price_Currency
2020-01-01 00:00:00,180.0,260.0,1943.0,1.0,0,1.0,185.0,211.0,0,46.0,161.0,5.0,2701.0,30.4,EUR
2020-01-01 01:00:00,178.0,270.0,1942.0,1.0,0,1.0,185.0,213.0,0,46.0,161.0,-0.0,2658.0,28.53,EUR
2020-01-01 02:00:00,181.0,271.0,1944.0,1.0,0,1.0,186.0,214.0,0,46.0,161.0,3.0,2574.0,27.37,EUR
2020-01-01 03:00:00,180.0,268.0,1945.0,1.0,0,1.0,185.0,213.0,0,47.0,159.0,204.0,2570.0,26.38,EUR
2020-01-01 04:00:00,181.0,254.0,1943.0,1.0,0,1.0,187.0,221.0,0,47.0,162.0,206.0,2594.0,26.5,EUR
2020-01-01 05:00:00,177.0,254.0,1944.0,1.0,0,1.0,186.0,218.0,0,49.0,160.0,1.0,2626.0,27.01,EUR
2020-01-01 06:00:00,176.0,296.0,1941.0,1.0,0,1.0,187.0,216.0,0,50.0,163.0,-0.0,2631.0,27.4,EUR
2020-01-01 07:00:00,177.0,362.0,1942.0,1.0,0,0.0,188.0,212.0,0,50.0,162.0,-0.0,2698.0,27.99,EUR
2020-01-01 08:00:00,180.0,477.0,1943.0,26.0,0,0.0,187.0,213.0,0,50.0,161.0,-0.0,2819.0,27.71,EUR
2020-01-01 09:00:00,177.0,434.0,1943.0,89.0,0,0.0,186.0,210.0,0,50.0,160.0,-0.0,2906.0,28.4,EUR
2020-01-01 10:00:00,178.0,426.0,1944.0,150.0,0,0.0,184.0,198.0,0,49.0,159.0,51.0,3076.0,28.98,EUR
2020-01-01 11:00:00,174.0,415.0,1941.0,180.0,0,0.0,186.0,202.0,0,49.0,160.0,53.0,3031.0,29.5,EUR
2020-01-01 12:00:00,175.0,418.0,1942.0,190.0,0,0.0,181.0,193.0,0,48.0,158.0,93.0,3023.0,29.43,EUR
2020-01-01 13:00:00,176.0,429.0,1939.0,144.0,0,0.0,182.0,207.0,0,48.0,161.0,89.0,3011.0,30.51,EUR
2020-01-01 14:00:00,175.0,430.0,1938.0,59.0,0,0.0,187.0,207.0,0,47.0,161.0,48.0,2940.0,33.32,EUR
2020-01-01 15:00:00,175.0,439.0,1939.0,10.0,0,0.0,186.0,200.0,0,48.0,158.0,29.0,3091.0,38.11,EUR
2020-01-01 16:00:00,174.0,559.0,1940.0,1.0,0,0.0,187.0,203.0,0,49.0,159.0,-0.0,3139.0,41.24,EUR
2020-01-01 17:00:00,175.0,618.0,1939.0,1.0,0,0.0,186.0,215.0,0,49.0,161.0,-59.0,3185.0,42.66,EUR
2020-01-01 18:00:00,178.0,605.0,1941.0,1.0,0,0.0,186.0,216.0,0,50.0,160.0,-80.0,3161.0,42.08,EUR
2020-01-01 19:00:00,173.0,544.0,1941.0,1.0,0,0.0,181.0,216.0,0,50.0,162.0,-0.0,3164.0,39.51,EUR
2020-01-01 20:00:00,172.0,503.0,1943.0,1.0,0,0.0,179.0,216.0,0,50.0,162.0,-0.0,3060.0,37.5,EUR
2020-01-01 21:00:00,173.0,454.0,1944.0,1.0,0,0.0,179.0,213.0,0,51.0,162.0,-0.0,2935.0,35.6,EUR
2020-01-01 22:00:00,175.0,414.0,1945.0,1.0,0,0.0,179.0,208.0,0,49.0,162.0,-0.0,2811.0,31.6,EUR
2020-01-01 23:00:00,177.0,375.0,1944.0,1.0,0,0.0,183.0,218.0,0,48.0,163.0,-0.0,2759.0,32.01,EUR
2020-01-02 00:00:00,175.0,241.0,1948.0,1.0,0,0.0,176.0,196.0,0,48.0,157.0,27.0,2654.0,31.5,EUR
2020-01-02 01:00:00,172.0,237.0,1947.0,1.0,0,0.0,176.0,200.0,0,48.0,158.0,18.0,2660.0,29.66,EUR
2020-01-02 02:00:00,170.0,240.0,1948.0,1.0,0,0.0,176.0,206.0,0,47.0,159.0,-0.0,2653.0,28.7,EUR
2020-01-02 03:00:00,171.0,243.0,1947.0,1.0,0,0.0,177.0,214.0,0,48.0,162.0,103.0,2736.0,29.18,EUR
2020-01-02 04:00:00,171.0,242.0,1943.0,1.0,0,0.0,181.0,214.0,0,49.0,162.0,1.0,2901.0,32.01,EUR
2020-01-02 05:00:00,169.0,255.0,1943.0,1.0,0,0.0,183.0,213.0,0,50.0,162.0,-0.0,3204.0,36.26,EUR
2020-01-02 06:00:00,168.0,377.0,1944.0,1.0,0,0.0,185.0,300.0,0,51.0,162.0,18.0,3365.0,41.5,EUR
