"country","technology","variable","value"
"AL","pumped_closed","gen_cap_MW",0
"AL","pumped_closed","pumping_cap_MW",0
"AL","pumped_closed","sto_GWh",0
"AL","pumped_open","gen_cap_MW",0
"AL","pumped_open","pumping_cap_MW",0
"AL","pumped_open","sto_GWh",0
"AL","reservoir","gen_cap_MW",2092.944
"AL","reservoir","pumping_cap_MW",0
"AL","reservoir","sto_GWh",1450
"AT","pumped_closed","gen_cap_MW",300
"AT","pumped_closed","pumping_cap_MW",-300
"AT","pumped_closed","sto_GWh",1.8
"AT","pumped_open","gen_cap_MW",6043.280000000001
"AT","pumped_open","pumping_cap_MW",-5205.65
"AT","pumped_open","sto_GWh",1732.627
"AT","reservoir","gen_cap_MW",2488.9539999999997
"AT","reservoir","pumping_cap_MW",0
"AT","reservoir","sto_GWh",757.0302
"BA","pumped_closed","gen_cap_MW",0
"BA","pumped_closed","pumping_cap_MW",0
"BA","pumped_closed","sto_GWh",0
"BA","pumped_open","gen_cap_MW",440
"BA","pumped_open","pumping_cap_MW",-440
"BA","pumped_open","sto_GWh",3.4
"BA","reservoir","gen_cap_MW",1615.9
"BA","reservoir","pumping_cap_MW",0
"BA","reservoir","sto_GWh",1711.51
"BE","pumped_closed","gen_cap_MW",1224
"BE","pumped_closed","pumping_cap_MW",-1150
"BE","pumped_closed","sto_GWh",5.3
"BE","pumped_open","gen_cap_MW",0
"BE","pumped_open","pumping_cap_MW",0
"BE","pumped_open","sto_GWh",0
"BE","reservoir","gen_cap_MW",0
"BE","reservoir","pumping_cap_MW",0
"BE","reservoir","sto_GWh",0
"BG","pumped_closed","gen_cap_MW",864
"BG","pumped_closed","pumping_cap_MW",-784
"BG","pumped_closed","sto_GWh",9.4
"BG","pumped_open","gen_cap_MW",535
"BG","pumped_open","pumping_cap_MW",-148
"BG","pumped_open","sto_GWh",255.3
"BG","reservoir","gen_cap_MW",1281.3
"BG","reservoir","pumping_cap_MW",0
"BG","reservoir","sto_GWh",843
"CH","pumped_closed","gen_cap_MW",1900
