name,year,week,neighbour,ImportTWh,ExportTWh
Levnější povolenka,2009,1,AT,0.009,0.045
Levnější povolenka,2009,1,SK,0.001,0.035
Levnější povolenka,2009,1,PL,0.062,0.002
Levnější povolenka,2009,1,DE,0.019,0.015
Levnější povolenka,2009,2,AT,0.021,0.034
Levnější povolenka,2009,2,SK,0,0.06
Levnější povolenka,2009,2,PL,0.06,0.011
Levnější povolenka,2009,2,DE,0.019,0.013
Levnější povolenka,2009,3,AT,0.014,0.01
Levnější povolenka,2009,3,SK,0,0.06
Levnější povolenka,2009,3,PL,0.022,0.011
Levnější povolenka,2009,3,DE,0.031,0.014
Levnější povolenka,2009,4,AT,0.01,0.021
Levnější povolenka,2009,4,SK,0,0.057
Levnější povolenka,2009,4,PL,0.017,0.018
Levnější povolenka,2009,4,DE,0.032,0.023
Levnější povolenka,2009,5,AT,0.005,0.011
Levnější povolenka,2009,5,SK,0.001,0.039
Levnější povolenka,2009,5,PL,0.028,0.007
Levnější povolenka,2009,5,DE,0.017,0.019
Levnější povolenka,2009,6,AT,0.006,0.021
Levnější povolenka,2009,6,SK,0.002,0.033
Levnější povolenka,2009,6,PL,0.019,0.01
Levnější povolenka,2009,6,DE,0.017,0.03
Levnější povolenka,2009,7,AT,0.017,0.007
Levnější povolenka,2009,7,SK,0.002,0.029
Levnější povolenka,2009,7,PL,0.021,0.012
Levnější povolenka,2009,7,DE,0.009,0.024
Levnější povolenka,2009,8,AT,0.016,0.018
Levnější povolenka,2009,8,SK,0.004,0.056
Levnější povolenka,2009,8,PL,0.019,0.026
Levnější povolenka,2009,8,DE,0.017,0.028
Levnější povolenka,2009,9,AT,0.012,0.019
Levnější povolenka,2009,9,SK,0.001,0.067
Levnější povolenka,2009,9,PL,0.024,0.019
Levnější povolenka,2009,9,DE,0.017,0.04
Levnější povolenka,2009,10,AT,0.002,0.022
Levnější povolenka,2009,10,SK,0,0.037
Levnější povolenka,2009,10,PL,0.014,0.019
Levnější povolenka,2009,10,DE,0.008,0.093
Levnější povolenka,2009,11,AT,0.003,0.012
Levnější povolenka,2009,11,SK,0.004,0.035
Levnější povolenka,2009,11,PL,0.005,0.032
Levnější povolenka,2009,11,DE,0.007,0.069
Levnější povolenka,2009,12,AT,0.005,0.018
Levnější povolenka,2009,12,SK,0.001,0.048
Levnější povolenka,2009,12,PL,0.016,0.02
Levnější povolenka,2009,12,DE,0.055,0.041
Levnější povolenka,2009,13,AT,0,0.043
Levnější povolenka,2009,13,SK,0.002,0.037
Levnější povolenka,2009,13,PL,0.022,0.026
Levnější povolenka,2009,13,DE,0.019,0.085
Levnější povolenka,2009,14,AT,0.001,0.024
Levnější povolenka,2009,14,SK,0.001,0.04
Levnější povolenka,2009,14,PL,0.008,0.024
Levnější povolenka,2009,14,DE,0.01,0.06
Levnější povolenka,2009,15,AT,0.005,0.007
Levnější povolenka,2009,15,SK,0.001,0.045
Levnější povolenka,2009,15,PL,0.003,0.02
Levnější povolenka,2009,15,DE,0.026,0.076
Levnější povolenka,2009,16,AT,0.001,0.023
Levnější povolenka,2009,16,SK,0.001,0.031
Levnější povolenka,2009,16,PL,0.008,0.026
Levnější povolenka,2009,16,DE,0.016,0.052
Levnější povolenka,2009,17,AT,0.006,0.014
Levnější povolenka,2009,17,SK,0.001,0.031
Levnější povolenka,2009,17,PL,0.01,0.024
Levnější povolenka,2009,17,DE,0.011,0.075
Levnější povolenka,2009,18,AT,0.017,0.009
Levnější povolenka,2009,18,SK,0.001,0.048
Levnější povolenka,2009,18,PL,0.012,0.031
Levnější povolenka,2009,18,DE,0.06,0.039
Levnější povolenka,2009,19,AT,0.003,0.025
Levnější povolenka,2009,19,SK,0.002,0.053
Levnější povolenka,2009,19,PL,0.015,0.034
Levnější povolenka,2009,19,DE,0.023,0.063
Levnější povolenka,2009,20,AT,0.001,0.03
Levnější povolenka,2009,20,SK,0.001,0.042
Levnější povolenka,2009,20,PL,0.007,0.028
Levnější povolenka,2009,20,DE,0.019,0.089
Levnější povolenka,2009,21,AT,0.024,0.018
Levnější povolenka,2009,21,SK,0.002,0.078
Levnější povolenka,2009,21,PL,0.011,0.05
Levnější povolenka,2009,21,DE,0.085,0.09
Levnější povolenka,2009,22,AT,0.003,0.005
Levnější povolenka,2009,22,SK,0.002,0.074
Levnější povolenka,2009,22,PL,0.008,0.028
Levnější povolenka,2009,22,DE,0.102,0.075
Levnější povolenka,2009,23,AT,0.001,0.037
Levnější povolenka,2009,23,SK,0,0.05
Levnější povolenka,2009,23,PL,0.007,0.026
Levnější povolenka,2009,23,DE,0.013,0.082
Levnější povolenka,2009,24,AT,0,0.019
Levnější povolenka,2009,24,SK,0,0.051
Levnější povolenka,2009,24,PL,0.014,0.028
Levnější povolenka,2009,24,DE,0.035,0.053
Levnější povolenka,2009,25,AT,0.001,0.012
Levnější povolenka,2009,25,SK,0.002,0.049
Levnější povolenka,2009,25,PL,0.002,0.029
Levnější povolenka,2009,25,DE,0.033,0.116
Levnější povolenka,2009,26,AT,0,0.03
Levnější povolenka,2009,26,SK,0.001,0.037
Levnější povolenka,2009,26,PL,0.005,0.027
Levnější povolenka,2009,26,DE,0.001,0.156
Levnější povolenka,2009,27,AT,0.01,0.024
Levnější povolenka,2009,27,SK,0.001,0.032
Levnější povolenka,2009,27,PL,0.001,0.037
Levnější povolenka,2009,27,DE,0.038,0.092
Levnější povolenka,2009,28,AT,0,0.017
Levnější povolenka,2009,28,SK,0,0.033
Levnější povolenka,2009,28,PL,0.008,0.029
Levnější povolenka,2009,28,DE,0.017,0.085
Levnější povolenka,2009,29,AT,0.005,0.015
Levnější povolenka,2009,29,SK,0.001,0.048
Levnější povolenka,2009,29,PL,0.009,0.032
Levnější povolenka,2009,29,DE,0.035,0.082
Levnější povolenka,2009,30,AT,0.002,0.014
Levnější povolenka,2009,30,SK,0.001,0.036
