name,region,week,Demand,Price
Pomalejší rozvoj,CZ,1,1.706,114.482
Pomalejší rozvoj,CZ,2,1.666,117.676
Pomalejší rozvoj,CZ,3,1.556,114.811
Pomalejší rozvoj,CZ,4,1.523,115.1
Pomalejší rozvoj,CZ,5,1.525,113.909
Pomalejší rozvoj,CZ,6,1.494,110.58
Pomalejší rozvoj,CZ,7,1.565,115.282
Pomalejší rozvoj,CZ,8,1.548,113.908
Pomalejší rozvoj,CZ,9,1.457,108.994
Pomalejší rozvoj,CZ,10,1.438,106.347
Pomalejší rozvoj,CZ,11,1.434,102.815
Pomalejší rozvoj,CZ,12,1.462,97.707
Pomalejší rozvoj,CZ,13,1.378,100.122
Pomalejší rozvoj,CZ,14,1.272,89.666
Pomalejší rozvoj,CZ,15,1.286,88.482
Pomalejší rozvoj,CZ,16,1.285,88.749
Pomalejší rozvoj,CZ,17,1.282,87.037
Pomalejší rozvoj,CZ,18,1.251,79.237
Pomalejší rozvoj,CZ,19,1.227,81.226
Pomalejší rozvoj,CZ,20,1.256,90.82
Pomalejší rozvoj,CZ,21,1.224,81.09
Pomalejší rozvoj,CZ,22,1.278,82.199
Pomalejší rozvoj,CZ,23,1.239,90.917
Pomalejší rozvoj,CZ,24,1.226,81.784
Pomalejší rozvoj,CZ,25,1.238,87.615
Pomalejší rozvoj,CZ,26,1.201,97.319
Pomalejší rozvoj,CZ,27,1.141,95.497
Pomalejší rozvoj,CZ,28,1.215,90.435
Pomalejší rozvoj,CZ,29,1.223,90.767
Pomalejší rozvoj,CZ,30,1.216,86.388
Pomalejší rozvoj,CZ,31,1.215,94.694
Pomalejší rozvoj,CZ,32,1.211,97.388
Pomalejší rozvoj,CZ,33,1.218,93.135
Pomalejší rozvoj,CZ,34,1.231,97.316
Pomalejší rozvoj,CZ,35,1.242,88.575
Pomalejší rozvoj,CZ,36,1.274,84.966
Pomalejší rozvoj,CZ,37,1.273,101.177
Pomalejší rozvoj,CZ,38,1.274,103.391
Pomalejší rozvoj,CZ,39,1.28,108.077
Pomalejší rozvoj,CZ,40,1.324,95.954
Pomalejší rozvoj,CZ,41,1.356,105.904
Pomalejší rozvoj,CZ,42,1.472,110.279
Pomalejší rozvoj,CZ,43,1.381,112.045
Pomalejší rozvoj,CZ,44,1.467,110.708
Pomalejší rozvoj,CZ,45,1.431,113.85
Pomalejší rozvoj,CZ,46,1.4,103.988
Pomalejší rozvoj,CZ,47,1.407,90.894
Pomalejší rozvoj,CZ,48,1.431,106.76
Pomalejší rozvoj,CZ,49,1.476,113.291
Pomalejší rozvoj,CZ,50,1.536,117.036
Pomalejší rozvoj,CZ,51,1.614,119.942
Pomalejší rozvoj,CZ,52,1.244,102.594
Pomalejší rozvoj,DE,1,15.473,109.494
Pomalejší rozvoj,DE,2,14.986,107.208
Pomalejší rozvoj,DE,3,13.982,100.263
Pomalejší rozvoj,DE,4,14.177,112.208
Pomalejší rozvoj,DE,5,14.276,98.651
Pomalejší rozvoj,DE,6,13.772,96.48
Pomalejší rozvoj,DE,7,14.418,113.214
Pomalejší rozvoj,DE,8,13.963,105.074
Pomalejší rozvoj,DE,9,13.177,94.635
Pomalejší rozvoj,DE,10,13.356,91.869
Pomalejší rozvoj,DE,11,12.89,98.632
Pomalejší rozvoj,DE,12,13.35,73.983
Pomalejší rozvoj,DE,13,11.866,81.558
Pomalejší rozvoj,DE,14,11.211,80.622
Pomalejší rozvoj,DE,15,11.403,72.954
Pomalejší rozvoj,DE,16,11.618,71.364
Pomalejší rozvoj,DE,17,11.545,78.54
Pomalejší rozvoj,DE,18,10.665,62.137
Pomalejší rozvoj,DE,19,10.558,59.813
Pomalejší rozvoj,DE,20,10.678,66.997
Pomalejší rozvoj,DE,21,10.602,57.894
Pomalejší rozvoj,DE,22,10.895,45.363
Pomalejší rozvoj,DE,23,10.93,71.366
Pomalejší rozvoj,DE,24,10.925,56.626
Pomalejší rozvoj,DE,25,10.91,61.674
Pomalejší rozvoj,DE,26,10.955,83.112
Pomalejší rozvoj,DE,27,10.98,72.226
Pomalejší rozvoj,DE,28,10.838,64.216
Pomalejší rozvoj,DE,29,10.881,61.091
Pomalejší rozvoj,DE,30,10.832,62.987
Pomalejší rozvoj,DE,31,10.672,74.359
Pomalejší rozvoj,DE,32,10.706,86.97
Pomalejší rozvoj,DE,33,10.774,70.807
Pomalejší rozvoj,DE,34,10.946,81.028
Pomalejší rozvoj,DE,35,10.93,60.274
Pomalejší rozvoj,DE,36,11.151,50.938
Pomalejší rozvoj,DE,37,11.317,87.564
Pomalejší rozvoj,DE,38,11.261,95.723
Pomalejší rozvoj,DE,39,11.542,100.092
Pomalejší rozvoj,DE,40,11.251,67.303
Pomalejší rozvoj,DE,41,11.964,92.354
Pomalejší rozvoj,DE,42,13.07,96.731
Pomalejší rozvoj,DE,43,12.504,108.501
Pomalejší rozvoj,DE,44,12.325,94.636
Pomalejší rozvoj,DE,45,13.09,108.538
Pomalejší rozvoj,DE,46,12.587,81.375
Pomalejší rozvoj,DE,47,12.309,52.07
