name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,AT,S,avg_consumer_price_EUR_per_MWh,,81.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,avg_producer_price_EUR_per_MWh,,80.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,capacity_factor,,1.261,,,0.748,,,,,0,,0.125,,0,,,0.089,0.705,0.693,,0.104,,,,,,,,0.268,,0.157,0.174
2025-cheap-ets,AT,S,capex_mn_EUR_per_yr,,,,,82.08,,,,,0,,442.353,,6.52,,,566.191,233.476,980.119,,2.24,,,0,,,,,840.553,,824.261,364.504
2025-cheap-ets,AT,S,charged_TWh,,0.923,,,,,,,,,,,,,,,0,0,0,,0.017,,,,,,,,,,0.377,
2025-cheap-ets,AT,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,discharged_TWh,,74.033,,,,,,,,,,,,,,,1.085,3.537,14.613,,0.015,,,,,,,,,,2.786,
2025-cheap-ets,AT,S,emissions_MtCO2,,14.168,,,0,,,,,0,0,0.889,,0,,,0,0,0,,0,,,0,,,,,0,,0,0
2025-cheap-ets,AT,S,export_TWh,,5.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,AT,S,import_TWh,,4.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,inflow_TWh,,,,,,,,,,,,,,,,,1.846,3.548,14.672,,,,,,,,,,,,4.212,
2025-cheap-ets,AT,S,load_TWh,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,net_import_TWh,,-0.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,S,opex_mn_EUR,,,,,142.481,,,,,0,,206.785,,0,,,3.255,7.075,,,0.03,,,0,,,,,0,,11.146,0
2025-cheap-ets,AT,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,0.998
2025-cheap-ets,AT,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,0.002
2025-cheap-ets,AT,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,AT,S,production_TWh,,156.574,,,2.006,,,,,0,0,2.263,,0,,,1.085,3.537,14.613,,0.015,,,0,,,,,6.445,,2.786,3.793
2025-cheap-ets,AT,S,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,AT,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,AT,S,production_hours,,,,,3499,,,,,0,0,1894,,0,,,4368,3359,4368,,635,,,0,,,,,,,1053,
2025-cheap-ets,AT,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.445,,,3.793
2025-cheap-ets,AT,S,wholesale_expenses_mn_EUR,203.101,,,,,,,,,,,,,,,,0,0,0,,1.405,,,,,,,,,,25.587,
2025-cheap-ets,AT,S,wholesale_revenues_mn_EUR,300.563,,,,165.557,,,,,0,,205.076,,0,,,88.134,286.271,1170.143,,1.233,,,0,,,,,491.107,,226.277,303.076
2025-cheap-ets,AT,W,avg_consumer_price_EUR_per_MWh,,91.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,avg_producer_price_EUR_per_MWh,,91.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,capacity_factor,,1.254,,,0.852,,,,,0,,0.866,,0.004,,,0.108,0.41,0.404,,0.092,,,,,,,,0.272,,0.169,0.097
2025-cheap-ets,AT,W,capex_mn_EUR_per_yr,,,,,82.08,,,,,0,,442.353,,6.52,,,566.191,233.476,980.119,,2.24,,,0,,,,,840.553,,824.261,364.504
2025-cheap-ets,AT,W,charged_TWh,,0.923,,,,,,,,,,,,,,,0,0,0,,0.015,,,,,,,,,,0.053,
2025-cheap-ets,AT,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,discharged_TWh,,74.033,,,,,,,,,,,,,,,1.322,2.07,8.558,,0.013,,,,,,,,,,3.016,
2025-cheap-ets,AT,W,emissions_MtCO2,,14.168,,,0,,,,,0,0,6.194,,0.001,,,0,0,0,,0,,,-0,,,,,0,,0,0
2025-cheap-ets,AT,W,export_TWh,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,
2025-cheap-ets,AT,W,import_TWh,,5.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,inflow_TWh,,,,,,,,,,,,,,,,,0.561,2.07,8.558,,,,,,,,,,,,1.281,
2025-cheap-ets,AT,W,load_TWh,,41.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,net_import_TWh,,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,W,opex_mn_EUR,,,,,162.3,,,,,0.8,,1423.785,,0.233,,,3.966,4.141,17.116,,0.027,,,-0,,,,,0,,12.065,0
2025-cheap-ets,AT,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
2025-cheap-ets,AT,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,AT,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,AT,W,production_TWh,,156.574,,,2.299,,,,,0,0,15.767,,0.002,,,1.322,2.07,8.558,,0.013,,,-0,,,,,6.559,,3.016,2.137
2025-cheap-ets,AT,W,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,-0,,,,,,,,
2025-cheap-ets,AT,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,AT,W,production_hours,,,,,3937,,,,,2,0,4179,,16,,,4392,2086,4392,,564,,,0,,,,,,,1052,
2025-cheap-ets,AT,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.559,,,2.137
2025-cheap-ets,AT,W,wholesale_expenses_mn_EUR,280.019,,,,,,,,,,,,,,,,0,0,0,,1.342,,,,,,,,,,4.16,
2025-cheap-ets,AT,W,wholesale_revenues_mn_EUR,294.622,,,,211.015,,,,,0.8,,1455.437,,0.682,,,131.122,190.668,773.143,,1.307,,,-0,,,,,580.38,,289.284,191.759
2025-cheap-ets,AT,Y,avg_consumer_price_EUR_per_MWh,,86.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,Y,avg_producer_price_EUR_per_MWh,,87.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,AT,Y,capacity_GW,,28.433,,,0.614,,,,,0.2,,4.146,,0.12,,,2.787,1.149,4.825,,0.033,,,0,,,,,5.5,,4.058,5
2025-cheap-ets,AT,Y,capacity_factor,,0.314,,,0.8,,,,,0,,0.496,,0.002,,,0.099,0.557,0.548,,0.098,,,,,,,,0.27,,0.163,0.135
2025-cheap-ets,AT,Y,capex_mn_EUR_per_yr,,,,,82.08,,,,,0,,442.353,,6.52,,,566.191,233.476,980.119,,2.24,,,0,,,,,840.553,,824.261,364.504
2025-cheap-ets,AT,Y,charged_TWh,,0.461,,,,,,,,,,,,,,,0,0,0,,0.032,,,,,,,,,,0.43,
