name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar
2025-cheap-ets,CZ,S,avg_consumer_price_EUR_per_MWh,,78.034,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,avg_producer_price_EUR_per_MWh,,77.982,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,capacity_factor,,1.696,0.654,,0.76,,,,,,0,0,0.357,0,0.202,0.406,0.021,0.074,0.728,0.715,0.701,,0.724,0.776,0.254,0.032,0.037,0.166
2025-cheap-ets,CZ,S,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,0,,87.828,87.293,19.959,8.282,141.738,87.683,,2.891,103.488,65.339,199.333,0,46.464,3000.042,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,S,charged_TWh,,2.139,,,,,,,,,,,,,0,0,0.252,0.015,,,,,,,,0.136,0.084,
2025-cheap-ets,CZ,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,discharged_TWh,,6.667,,,,,,,,,,,,,0.616,0.766,0.219,0.014,,,,,,,,0.097,0.076,
2025-cheap-ets,CZ,S,emissions_MtCO2,,76.74,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,4.113,3.766,5.63,0,1.71,0,0,0,0,0
2025-cheap-ets,CZ,S,export_TWh,,4.274,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,heat_production_PJ,,,0,,,,0,-0,,0,,-0,2.06,,,,,,,20.337,9.212,,,,,,,
2025-cheap-ets,CZ,S,import_TWh,,1.045,,,,,,,,,,,,,,,,,,,,,,,,,,
