name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,CZ,S,avg_consumer_price_EUR_per_MWh,,77.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,avg_producer_price_EUR_per_MWh,,77.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,capacity_factor,,1.488,0.664,,0.762,,,,,,,0,0,,0.355,0,0.203,,0.406,0.009,0.074,0.731,0.717,0.699,,0.731,0.776,,0.254,0.035,0.04,0.166
2025-cheap-ets,CZ,S,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,,0,,87.828,87.293,,19.959,8.282,141.738,,87.683,,2.891,103.52,65.361,199.334,0,46.48,3000.042,,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,S,charged_TWh,,2.15,,,,,,,,,,,,,,,0,,0,0.238,0.015,,,,,,,,,0.149,0.091,
2025-cheap-ets,CZ,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,discharged_TWh,,6.672,,,,,,,,,,,,,,,0.617,,0.766,0.207,0.014,,,,,,,,,0.106,0.082,
2025-cheap-ets,CZ,S,emissions_MtCO2,,76.458,0,0,0,0,0,0,,0,0,0,0,,0.314,0,0,,0,0,0,4.132,3.778,5.618,0,1.727,0,,0,0,0,0
2025-cheap-ets,CZ,S,export_TWh,,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,heat_production_PJ,,,0,,,,0,0,,,0,,0,,2.053,,,,,,,,20.403,9.142,,,,,,,,
2025-cheap-ets,CZ,S,import_TWh,,1.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,inflow_TWh,,,,,,,,,,,,,,,,,0.618,,0.766,,,,,,,,,,,,0.017,
2025-cheap-ets,CZ,S,load_TWh,,29.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,net_import_TWh,,-3.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,opex_mn_EUR,,,40.214,0,87.937,0,0,0,,0,,0,-0,,71.806,0,1.852,,,,0.028,323.065,286.597,366.394,0,135.732,301.727,,0,0.425,0.328,0
2025-cheap-ets,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
2025-cheap-ets,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
2025-cheap-ets,CZ,S,production_TWh,,144.08,0.512,0,1.239,0,0,0,,0,0,0,-0,,0.57,0,0.617,,0.766,0.207,0.014,4.132,1.889,4.711,0,1.856,13.715,,0.378,0.106,0.082,2.533
2025-cheap-ets,CZ,S,production_el_eq_TWh,,,0.512,,,,0,0,,,0,,0,,0.57,,,,,,,,1.889,5.618,,,,,,,,
2025-cheap-ets,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,CZ,S,production_hours,,,3781,0,3576,0,0,0,,0,0,0,0,,1586,0,4368,,4368,459,333,4226,4289,4368,0,4168,,,,212,241,
2025-cheap-ets,CZ,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,2.533
2025-cheap-ets,CZ,S,wholesale_expenses_mn_EUR,23.809,,,,,,,,,,,,,,,,0,,0,,1.203,,,,,,,,,11.43,7.021,
2025-cheap-ets,CZ,S,wholesale_revenues_mn_EUR,311.615,,39.868,0,96.521,0,0,0,,0,,0,0,,44.332,0,47.991,,59.714,,1.087,321.934,147.151,437.097,0,144.596,1067.347,,29.429,8.243,6.364,196.681
2025-cheap-ets,CZ,W,avg_consumer_price_EUR_per_MWh,,85.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,avg_producer_price_EUR_per_MWh,,85.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,capacity_factor,,1.48,0.936,,0.838,,,,,,,0.396,0.469,,0.458,0.002,0.152,,0.308,0.017,0.071,0.968,0.982,1,,0.968,0.817,,0.31,0.021,0.024,0.082
2025-cheap-ets,CZ,W,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,,0,,87.828,87.293,,19.959,8.282,141.738,,87.683,,2.891,103.52,65.361,199.334,0,46.48,3000.042,,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,W,charged_TWh,,2.15,,,,,,,,,,,,,,,0,,0,0.432,0.015,,,,,,,,,0.086,0.048,
2025-cheap-ets,CZ,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,discharged_TWh,,6.672,,,,,,,,,,,,,,,0.467,,0.583,0.368,0.013,,,,,,,,,0.063,0.049,
2025-cheap-ets,CZ,W,emissions_MtCO2,,76.458,0,0,0,0,0,0,,0,0,0.562,0.614,,0.406,0,0,,0,0,0,5.503,5.202,8.075,0,2.298,0,,0,0,0,0
2025-cheap-ets,CZ,W,export_TWh,,4.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,heat_production_PJ,,,0.104,,,,0,0,,,0,,0.696,,2.659,,,,,,,,28.088,34.901,,,,,,,,
2025-cheap-ets,CZ,W,import_TWh,,1.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,inflow_TWh,,,,,,,,,,,,,,,,,0.466,,0.583,,,,,,,,,,,,0.014,
2025-cheap-ets,CZ,W,load_TWh,,35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
