name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar
subsidy-0,CZ,S,avg_consumer_price_EUR_per_MWh,,97.126,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,avg_producer_price_EUR_per_MWh,,96.885,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,capacity_factor,,1.04,0.655,,0.682,0,0.004,-0,,,0.301,0.645,0.558,0,0.153,0.411,0.003,0.107,0,0.723,0.047,0,0,0.776,0.204,0.129,0.131,0.18
subsidy-0,CZ,S,capex_mn_EUR_per_yr,,,90.376,0,49.707,42.24,1.812,33.671,0,,87.828,115.452,30.064,8.282,105.136,87.683,,6.724,103.488,65.339,247.431,128.128,46.464,3000.042,76.414,139.774,114.162,510.28
subsidy-0,CZ,S,charged_TWh,,3.479,,,,,,,,,,,,,0,0,0.078,0.052,,,,,,,,0.543,0.42,
subsidy-0,CZ,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,discharged_TWh,,6.517,,,,,,,,,,,,,0.347,0.775,0.063,0.047,,,,,,,,0.389,0.322,
subsidy-0,CZ,S,emissions_MtCO2,,44.086,0,0,0,0,0,-0,0,0,0.425,1.112,0.741,0,0,0,0,0,0,3.809,0.464,0,0,0,0,0,0,0
subsidy-0,CZ,S,export_TWh,,3.945,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,heat_production_PJ,,,0.464,,,,0.003,-0,,-0,,3.287,4.853,,,,,,,20.571,2.366,,,,,,,
subsidy-0,CZ,S,import_TWh,,6.847,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.347,0.776,,,,,,,,,,,0.021,
subsidy-0,CZ,S,load_TWh,,32.277,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,net_import_TWh,,2.902,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,S,opex_mn_EUR,,,57.506,0,78.95,0,0.077,-0,0,,119.912,264.628,199.385,0.033,1.04,,,0.093,0,439.638,27.832,0,0,301.727,0,1.556,1.288,0
subsidy-0,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,0.964,0.963,,,0.874
subsidy-0,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.037,,,0.126
subsidy-0,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0
subsidy-0,CZ,S,production_TWh,,132.798,0.734,0,1.108,0,0,-0,0,0,1.082,2.45,1.348,0,0.347,0.775,0.063,0.047,0,1.905,0.23,0,0,13.715,0.446,0.389,0.322,5.491
subsidy-0,CZ,S,production_el_eq_TWh,,,0.799,,,,0,-0,,0,,2.83,1.348,,,,,,,1.905,0.464,,,,,,,
subsidy-0,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,CZ,S,production_hours,,,3511,0,3194,0,38,0,0,0,1912,3877,2602,3,4368,4368,424,516,0,4368,1733,0,0,,,686,806,
subsidy-0,CZ,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0.446,,,5.491
subsidy-0,CZ,S,wholesale_expenses_mn_EUR,230.665,,,,,,,,,,,,,,0,0,,4.745,,,,,,,,44.788,34.645,
subsidy-0,CZ,S,wholesale_revenues_mn_EUR,32.654,,80.357,0,115.764,0,0.03,-0,0,,116.835,289.518,144.433,0.028,36.184,75.254,,5.024,0,185.386,44.22,0,0,1333.767,41.931,42.277,34.969,470.702
subsidy-0,CZ,W,avg_consumer_price_EUR_per_MWh,,110.248,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,avg_producer_price_EUR_per_MWh,,110.348,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,capacity_factor,,1.035,0.944,,0.918,0,0.047,0,,,0.82,0.943,0.579,0.002,0.107,0.287,0.01,0.139,0.017,0.976,0.541,0,0.515,0.817,0.311,0.047,0.047,0.071
subsidy-0,CZ,W,capex_mn_EUR_per_yr,,,90.376,0,49.707,42.24,1.812,33.671,0,,87.828,115.452,30.064,8.282,105.136,87.683,,6.724,103.488,65.339,247.431,128.128,46.464,3000.042,76.414,139.774,114.162,510.28
subsidy-0,CZ,W,charged_TWh,,3.479,,,,,,,,,,,,,0,0,0.238,0.068,,,,,,,,0.194,0.147,
subsidy-0,CZ,W,curtailment_TWh,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,discharged_TWh,,6.517,,,,,,,,,,,,,0.244,0.545,0.209,0.061,,,,,,,,0.141,0.117,
subsidy-0,CZ,W,emissions_MtCO2,,44.086,0,0,0,0,0.006,0,0,0,1.165,1.635,0.774,0.001,0,0,0,0,0.098,5.167,5.423,0,1.221,0,0,0,0,0
subsidy-0,CZ,W,export_TWh,,3.003,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,heat_production_PJ,,,0.209,,,,0.037,0,,0,,4.156,5.063,,,,,,,27.904,28.952,,,,,,,
subsidy-0,CZ,W,import_TWh,,5.966,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,inflow_TWh,,,,,,,,,,,,,,,0.243,0.545,,,,,,,,,,,0.01,
subsidy-0,CZ,W,load_TWh,,38.291,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,net_import_TWh,,2.963,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,W,opex_mn_EUR,,,87.604,0,105.352,0,0.89,0,0,,315.636,390.401,208.022,0.182,0.731,1.089,,0.122,12.242,595.186,302.153,0,145.06,319.48,0,0.566,0.469,0
subsidy-0,CZ,W,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,0.999,0.998,,,0.989
subsidy-0,CZ,W,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,0,0.001,,,0.004
subsidy-0,CZ,W,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,,,0.007
subsidy-0,CZ,W,production_TWh,,132.798,1.127,0,1.499,0,0.003,0,0,0,2.965,3.681,1.407,0.001,0.244,0.545,0.209,0.061,0.098,2.584,2.551,0,1.313,14.522,0.682,0.141,0.117,2.198
subsidy-0,CZ,W,production_el_eq_TWh,,,1.156,,,,0.003,0,,0,,4.162,1.407,,,,,,,2.584,5.423,,,,,,,
subsidy-0,CZ,W,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,CZ,W,production_hours,,,4299,0,4123,0,374,0,0,0,3722,4363,2745,15,4371,4392,673,674,203,4392,4125,0,2481,,,272,346,
subsidy-0,CZ,W,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0.682,,,2.198
subsidy-0,CZ,W,wholesale_expenses_mn_EUR,308.874,,,,,,,,,,,,,,0,0,,7.281,,,,,,,,19.242,14.476,
subsidy-0,CZ,W,wholesale_revenues_mn_EUR,43.476,,128.12,0,167.535,0,0.41,0,0,,335.369,461.627,159.502,0.174,27.633,59.123,,6.981,11.893,283.33,601.837,0,150.94,1586.954,72.344,16.59,13.74,229.452
subsidy-0,CZ,Y,avg_consumer_price_EUR_per_MWh,,104.246,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,avg_producer_price_EUR_per_MWh,,104.269,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,capacity_GW,,29.224,0.279,0,0.372,0.528,0.017,0.311,0,,0.823,1.004,0.553,0.128,0.518,0.432,5,0.1,1.294,0.603,2.283,1.602,0.581,4.047,0.5,0.688,0.562,7
subsidy-0,CZ,Y,capacity_factor,,0.259,0.8,,0.8,0,0.025,-0,,,0.561,0.795,0.568,0.001,0.13,0.349,0.006,0.123,0.009,0.85,0.294,0,0.258,0.796,0.258,0.088,0.089,0.125
subsidy-0,CZ,Y,capex_mn_EUR_per_yr,,,90.376,0,49.707,42.24,1.812,33.671,0,,87.828,115.452,30.064,8.282,105.136,87.683,,6.724,103.488,65.339,247.431,128.128,46.464,3000.042,76.414,139.774,114.162,510.28
subsidy-0,CZ,Y,charged_TWh,,1.74,,,,,,,,,,,,,0,0,0.316,0.119,,,,,,,,0.737,0.567,
subsidy-0,CZ,Y,curtailment_TWh,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,discharged_TWh,,3.259,,,,,,,,,,,,,0.59,1.319,0.271,0.108,,,,,,,,0.53,0.439,
subsidy-0,CZ,Y,emissions_MtCO2,,22.043,0,0,0,0,0.006,-0,0,0,1.59,2.747,1.515,0.001,0,0,0,0,0.098,8.977,5.887,0,1.221,0,0,0,0,0
subsidy-0,CZ,Y,export_TWh,,6.948,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,heat_production_PJ,,,0.674,,,,0.04,-0,,-0,,7.444,9.917,,,,,,,48.475,31.319,,,,,,,
subsidy-0,CZ,Y,import_TWh,,12.813,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,inflow_TWh,,,,,,,,,,,,,,,0.59,1.321,,,,,,,,,,,0.031,
subsidy-0,CZ,Y,load_TWh,,70.567,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,net_import_TWh,,5.866,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-0,CZ,Y,opex_mn_EUR,,,145.11,0,184.302,0,0.966,-0,0,,435.548,655.029,407.407,0.214,1.771,2.639,,0.216,12.242,1034.824,329.984,0,145.06,621.206,0,2.122,1.757,0
subsidy-0,CZ,Y,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,0.982,0.984,,,0.907
subsidy-0,CZ,Y,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.015,,,0.091
subsidy-0,CZ,Y,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,0,0.001,,,0.002
subsidy-0,CZ,Y,production_TWh,,66.399,1.862,0,2.607,0,0.004,-0,0,0,4.047,6.131,2.755,0.001,0.59,1.319,0.271,0.108,0.098,4.488,2.78,0,1.313,28.237,1.128,0.53,0.439,7.689
subsidy-0,CZ,Y,production_el_eq_TWh,,,1.955,,,,0.004,-0,,0,,6.993,2.755,,,,,,,4.488,5.887,,,,,,,
subsidy-0,CZ,Y,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
subsidy-0,CZ,Y,production_hours,,,7810,0,7317,0,412,0,0,0,5634,8240,5347,18,8739,8760,1097,1190,203,8760,5858,0,2481,,,958,1152,
subsidy-0,CZ,Y,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,1.128,,,7.689
subsidy-0,CZ,Y,wholesale_expenses_mn_EUR,539.539,,,,,,,,,,,,,,0,0,,12.027,,,,,,,,64.03,49.122,
subsidy-0,CZ,Y,wholesale_revenues_mn_EUR,76.13,,208.477,0,283.298,0,0.439,-0,0,,452.204,751.145,303.935,0.202,63.817,134.377,,12.006,11.893,468.716,646.057,0,150.94,2920.721,114.275,58.866,48.708,700.154
subsidy-10,CZ,S,avg_consumer_price_EUR_per_MWh,,101.374,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,avg_producer_price_EUR_per_MWh,,101.238,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,capacity_factor,,1.127,0.668,,0.688,0,0,0,,,0.22,0.198,0.462,0,0.153,0.411,0.004,0.1,0,0.459,0.327,0,0.684,0.776,0.204,0.131,0.132,0.18
subsidy-10,CZ,S,capex_mn_EUR_per_yr,,,90.376,0,49.707,42.24,1.812,33.671,0,,87.828,115.452,30.064,8.282,105.136,87.683,,6.724,103.488,65.339,247.431,128.128,46.464,3000.042,76.414,139.774,114.162,510.28
subsidy-10,CZ,S,charged_TWh,,4.182,,,,,,,,,,,,,0,0,0.091,0.048,,,,,,,,0.548,0.422,
subsidy-10,CZ,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,discharged_TWh,,7.122,,,,,,,,,,,,,0.347,0.775,0.077,0.044,,,,,,,,0.393,0.323,
subsidy-10,CZ,S,emissions_MtCO2,,59.245,0,0,0,0,0,0,0,0,0.311,0.342,0.614,0,0,0,0,0,0,2.416,3.264,0,1.615,0,0,0,0,0
subsidy-10,CZ,S,export_TWh,,4.199,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,heat_production_PJ,,,0.049,,,,0,0,,-0,,0.023,4.02,,,,,,,13.049,14.4,,,,,,,
subsidy-10,CZ,S,import_TWh,,6.479,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.347,0.776,,,,,,,,,,,0.021,
subsidy-10,CZ,S,load_TWh,,32.277,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,net_import_TWh,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
subsidy-10,CZ,S,opex_mn_EUR,,,64.133,0,79.725,0,0,0,0,,87.615,95.791,165.163,0.022,1.041,,,0.088,0,267.885,197.723,0,176.638,301.727,0,1.574,1.293,0
subsidy-10,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,0.964,0.963,,,0.874
