,name,region,season,source,stat,val
0,subsidy-0,CZ,Y,nuclear,capacity_GW,4.047
1,subsidy-0,CZ,Y,solar,capacity_GW,7
2,subsidy-0,CZ,Y,onshore,capacity_GW,0.5
3,subsidy-0,CZ,Y,biogas,capacity_GW,0.372
4,subsidy-0,CZ,Y,bio,capacity_GW,0
5,subsidy-0,CZ,Y,b_CHP,capacity_GW,0.279
6,subsidy-0,CZ,Y,gas_ccgt,capacity_GW,0.823
7,subsidy-0,CZ,Y,gas_chp,capacity_GW,1.004
8,subsidy-0,CZ,Y,lig_sc,capacity_GW,0.581
9,subsidy-0,CZ,Y,lig,capacity_GW,1.294
10,subsidy-0,CZ,Y,lig_ex,capacity_GW,2.283
11,subsidy-0,CZ,Y,coal,capacity_GW,0.528
12,subsidy-0,CZ,Y,coal_ex,capacity_GW,0.311
13,subsidy-0,CZ,Y,lig_old,capacity_GW,1.602
14,subsidy-0,CZ,Y,gas_peak,capacity_GW,0.128
15,subsidy-0,CZ,Y,gas_eng_chp,capacity_GW,0.553
16,subsidy-0,CZ,Y,lig_bp,capacity_GW,0.603
17,subsidy-0,CZ,Y,coal_bp,capacity_GW,0.017
18,subsidy-0,CZ,Y,dsr,capacity_GW,0
19,subsidy-0,CZ,Y,h_ror,capacity_GW,0.432
20,subsidy-0,CZ,Y,h_dams,capacity_GW,0.518
21,subsidy-0,CZ,Y,li,capacity_GW,0.1
22,subsidy-0,CZ,Y,pump_open,capacity_GW,0.562
23,subsidy-0,CZ,Y,pump,capacity_GW,0.688
24,subsidy-0,CZ,Y,heat,capacity_GW,5
25,subsidy-0,CZ,Y,TOTAL,capacity_GW,29.224
26,subsidy-0,CZ,Y,TOTAL,load_TWh,70.567
27,subsidy-0,CZ,S,TOTAL,load_TWh,32.277
28,subsidy-0,CZ,W,TOTAL,load_TWh,38.291
29,subsidy-0,CZ,Y,TOTAL,import_TWh,12.813
30,subsidy-0,CZ,S,TOTAL,import_TWh,6.847
31,subsidy-0,CZ,W,TOTAL,import_TWh,5.966
32,subsidy-0,CZ,Y,TOTAL,export_TWh,6.948
33,subsidy-0,CZ,S,TOTAL,export_TWh,3.945
34,subsidy-0,CZ,W,TOTAL,export_TWh,3.003
35,subsidy-0,CZ,Y,TOTAL,net_import_TWh,5.866
36,subsidy-0,CZ,S,TOTAL,net_import_TWh,2.902
37,subsidy-0,CZ,W,TOTAL,net_import_TWh,2.963
38,subsidy-0,CZ,Y,TOTAL,curtailment_TWh,0.003
39,subsidy-0,CZ,S,TOTAL,curtailment_TWh,0
40,subsidy-0,CZ,W,TOTAL,curtailment_TWh,0.003
41,subsidy-0,CZ,Y,nuclear,production_TWh,28.237
42,subsidy-0,CZ,Y,solar,production_TWh,7.689
43,subsidy-0,CZ,Y,onshore,production_TWh,1.128
44,subsidy-0,CZ,Y,biogas,production_TWh,2.607
45,subsidy-0,CZ,Y,bio,production_TWh,0
46,subsidy-0,CZ,Y,b_CHP,production_TWh,1.862
47,subsidy-0,CZ,Y,gas_ccgt,production_TWh,4.047
48,subsidy-0,CZ,Y,gas_chp,production_TWh,6.131
49,subsidy-0,CZ,Y,lig_sc,production_TWh,1.313
50,subsidy-0,CZ,Y,lig,production_TWh,0.098
51,subsidy-0,CZ,Y,lig_ex,production_TWh,2.78
52,subsidy-0,CZ,Y,coal,production_TWh,0
53,subsidy-0,CZ,Y,coal_ex,production_TWh,-0
54,subsidy-0,CZ,Y,lig_old,production_TWh,0
55,subsidy-0,CZ,Y,gas_peak,production_TWh,0.001
56,subsidy-0,CZ,Y,gas_eng_chp,production_TWh,2.755
57,subsidy-0,CZ,Y,lig_bp,production_TWh,4.488
58,subsidy-0,CZ,Y,coal_bp,production_TWh,0.004
59,subsidy-0,CZ,Y,dsr,production_TWh,0
60,subsidy-0,CZ,Y,eens,production_TWh,0
61,subsidy-0,CZ,Y,h_ror,production_TWh,1.319
62,subsidy-0,CZ,Y,h_dams,production_TWh,0.59
63,subsidy-0,CZ,Y,li,production_TWh,0.108
64,subsidy-0,CZ,Y,pump_open,production_TWh,0.439
65,subsidy-0,CZ,Y,pump,production_TWh,0.53
66,subsidy-0,CZ,Y,heat,production_TWh,0.271
67,subsidy-0,CZ,Y,TOTAL,production_TWh,66.399
68,subsidy-0,CZ,S,nuclear,production_TWh,13.715
69,subsidy-0,CZ,S,solar,production_TWh,5.491
70,subsidy-0,CZ,S,onshore,production_TWh,0.446
71,subsidy-0,CZ,S,biogas,production_TWh,1.108
72,subsidy-0,CZ,S,bio,production_TWh,0
73,subsidy-0,CZ,S,b_CHP,production_TWh,0.734
74,subsidy-0,CZ,S,gas_ccgt,production_TWh,1.082
75,subsidy-0,CZ,S,gas_chp,production_TWh,2.45
76,subsidy-0,CZ,S,lig_sc,production_TWh,0
77,subsidy-0,CZ,S,lig,production_TWh,0
78,subsidy-0,CZ,S,lig_ex,production_TWh,0.23
79,subsidy-0,CZ,S,coal,production_TWh,0
80,subsidy-0,CZ,S,coal_ex,production_TWh,-0
81,subsidy-0,CZ,S,lig_old,production_TWh,0
82,subsidy-0,CZ,S,gas_peak,production_TWh,0
83,subsidy-0,CZ,S,gas_eng_chp,production_TWh,1.348
