name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,32.41251776392821
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,0.2810642227173299
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,6.3618776645892305
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,1.738761397475741
nuclear-0,CZ,Y,h2p,capacity_GW,2.3084017040849303
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,91.39758243262199
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.49775797592378
nuclear-0,CZ,S,TOTAL,load_TWh,45.07984935674477
nuclear-0,CZ,W,TOTAL,load_TWh,62.406797191424566
nuclear-0,CZ,Y,TOTAL,import_TWh,35.14130544858827
nuclear-0,CZ,S,TOTAL,import_TWh,12.463447010215573
nuclear-0,CZ,W,TOTAL,import_TWh,22.675798989123685
nuclear-0,CZ,Y,TOTAL,export_TWh,10.004990235365552
nuclear-0,CZ,S,TOTAL,export_TWh,7.126304484456035
nuclear-0,CZ,W,TOTAL,export_TWh,2.8786857509095194
nuclear-0,CZ,Y,TOTAL,net_import_TWh,25.136315213222716
nuclear-0,CZ,S,TOTAL,net_import_TWh,5.337142525759538
nuclear-0,CZ,W,TOTAL,net_import_TWh,19.797113238214166
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.865100700236451
nuclear-0,CZ,S,TOTAL,curtailment_TWh,1.310377286034993
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.5547234142014584
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,102.77963706434086
nuclear-0,CZ,Y,solar,production_TWh,35.63014095718277
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,0.7609760581186683
nuclear-0,CZ,Y,b_CHP,production_TWh,1.824273451293964
nuclear-0,CZ,Y,biogas,production_TWh,1.0322212719870616
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.0
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,3.9498393230680606
nuclear-0,CZ,Y,v2g,production_TWh,0.7361711519858888
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.5362986996127292
nuclear-0,CZ,Y,h2,production_TWh,1.8347010258970398
nuclear-0,CZ,Y,h2p,production_TWh,0.9097438313395074
nuclear-0,CZ,Y,h_ror,production_TWh,0.9404740145495288
nuclear-0,CZ,Y,pump_open,production_TWh,0.4921788908299158
