name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,34.10057667509478
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,1.9840721617606871
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,8.405864906300922
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,0.6170363299319659
nuclear-0,CZ,Y,h2p,capacity_GW,0.5549461766056374
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,93.95745592952053
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.50251262752683
nuclear-0,CZ,S,TOTAL,load_TWh,45.07575491854535
nuclear-0,CZ,W,TOTAL,load_TWh,62.415814874811716
nuclear-0,CZ,Y,TOTAL,import_TWh,35.75090535302856
nuclear-0,CZ,S,TOTAL,import_TWh,13.158417162417736
nuclear-0,CZ,W,TOTAL,import_TWh,22.590694679830083
nuclear-0,CZ,Y,TOTAL,export_TWh,15.45210035428134
nuclear-0,CZ,S,TOTAL,export_TWh,9.533550989769473
nuclear-0,CZ,W,TOTAL,export_TWh,5.918051521189253
nuclear-0,CZ,Y,TOTAL,net_import_TWh,20.298804998747215
nuclear-0,CZ,S,TOTAL,net_import_TWh,3.6248661726482627
nuclear-0,CZ,W,TOTAL,net_import_TWh,16.67264315864083
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.7770405766762585
nuclear-0,CZ,S,TOTAL,curtailment_TWh,1.201904519848675
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.5751360568275836
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,161.95829335969972
nuclear-0,CZ,Y,solar,production_TWh,37.485775171931415
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,5.692709593720504
nuclear-0,CZ,Y,b_CHP,production_TWh,1.8780818769484338
nuclear-0,CZ,Y,biogas,production_TWh,1.0133338344168663
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.005453047275543213
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,5.357545835844724
nuclear-0,CZ,Y,v2g,production_TWh,0.7684220940995894
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.6274975495449961
nuclear-0,CZ,Y,h2,production_TWh,0.6446107100008757
nuclear-0,CZ,Y,h2p,production_TWh,0.21764810090837536
nuclear-0,CZ,Y,h_ror,production_TWh,0.940994116270747
nuclear-0,CZ,Y,pump_open,production_TWh,0.5310951538746501
nuclear-0,CZ,Y,pump,production_TWh,0.7645835374865976
nuclear-0,CZ,Y,h_dams,production_TWh,0.9180129669389795
nuclear-0,CZ,Y,TOTAL,production_TWh,99.12526244740546
nuclear-0,CZ,S,solar,production_TWh,25.548574940254383
nuclear-0,CZ,S,onshore,production_TWh,9.264745894555306
nuclear-0,CZ,S,offshore,production_TWh,0.0
nuclear-0,CZ,S,nuclear,production_TWh,7.1118957449962945
nuclear-0,CZ,S,smr,production_TWh,0.0
