name,region,season,source,stat,val
smr-5000EUR,CZ,Y,solar,capacity_GW,14.243228832849475
smr-5000EUR,CZ,Y,onshore,capacity_GW,10.0
smr-5000EUR,CZ,Y,offshore,capacity_GW,0.0
smr-5000EUR,CZ,Y,nuclear,capacity_GW,6.46
smr-5000EUR,CZ,Y,smr,capacity_GW,2.8
smr-5000EUR,CZ,Y,gas_ccgt_ccs,capacity_GW,0.0
smr-5000EUR,CZ,Y,b_CHP,capacity_GW,0.7
smr-5000EUR,CZ,Y,gas_peak,capacity_GW,0.0
smr-5000EUR,CZ,Y,dsr,capacity_GW,1.3632618188858032
smr-5000EUR,CZ,Y,li-2,capacity_GW,3.6364843249274204
smr-5000EUR,CZ,Y,v2g,capacity_GW,0.5167060801188149
smr-5000EUR,CZ,Y,ecars,capacity_GW,0.0
smr-5000EUR,CZ,Y,heat-flex,capacity_GW,30.682191780821917
smr-5000EUR,CZ,Y,h2,capacity_GW,0.0
smr-5000EUR,CZ,Y,h2p,capacity_GW,0.0
smr-5000EUR,CZ,Y,h_ror,capacity_GW,0.43163
smr-5000EUR,CZ,Y,pump_open,capacity_GW,0.4704
smr-5000EUR,CZ,Y,pump,capacity_GW,0.6880499999999999
smr-5000EUR,CZ,Y,h_dams,capacity_GW,0.6977199999999999
smr-5000EUR,CZ,Y,TOTAL,capacity_GW,72.68967283760344
smr-5000EUR,CZ,Y,h2,capacity_charging_GW,1.0154147114177348
smr-5000EUR,CZ,Y,h2p,capacity_charging_GW,0.0
smr-5000EUR,CZ,Y,TOTAL,load_TWh,107.50466728965561
smr-5000EUR,CZ,S,TOTAL,load_TWh,44.837880831934555
smr-5000EUR,CZ,W,TOTAL,load_TWh,62.184011936197784
smr-5000EUR,CZ,Y,TOTAL,import_TWh,21.727724951936864
smr-5000EUR,CZ,S,TOTAL,import_TWh,5.882233107897448
smr-5000EUR,CZ,W,TOTAL,import_TWh,15.764098240508474
smr-5000EUR,CZ,Y,TOTAL,export_TWh,23.312784675902016
smr-5000EUR,CZ,S,TOTAL,export_TWh,12.663125016940649
smr-5000EUR,CZ,W,TOTAL,export_TWh,10.492652270653267
smr-5000EUR,CZ,Y,TOTAL,net_import_TWh,-1.585059723965152
smr-5000EUR,CZ,S,TOTAL,net_import_TWh,-6.780891909043201
smr-5000EUR,CZ,W,TOTAL,net_import_TWh,5.271445969855208
smr-5000EUR,CZ,Y,TOTAL,curtailment_TWh,0.13925506038620192
smr-5000EUR,CZ,S,TOTAL,curtailment_TWh,0.060828337659317416
smr-5000EUR,CZ,W,TOTAL,curtailment_TWh,0.07842672272688447
smr-5000EUR,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,161.95829335969972
smr-5000EUR,CZ,Y,solar,production_TWh,15.657168464852143
smr-5000EUR,CZ,Y,onshore,production_TWh,26.847828578924002
smr-5000EUR,CZ,Y,offshore,production_TWh,0.0
smr-5000EUR,CZ,Y,nuclear,production_TWh,45.25659708920188
smr-5000EUR,CZ,Y,smr,production_TWh,22.80446789080028
smr-5000EUR,CZ,Y,gas_ccgt_ccs,production_TWh,0.0
smr-5000EUR,CZ,Y,b_CHP,production_TWh,0.7164021280474607
smr-5000EUR,CZ,Y,gas_peak,production_TWh,0.0
smr-5000EUR,CZ,Y,dsr,production_TWh,0.0
smr-5000EUR,CZ,Y,eens,production_TWh,0.0
smr-5000EUR,CZ,Y,li-2,production_TWh,2.2402486034689058
smr-5000EUR,CZ,Y,v2g,production_TWh,0.5705907813914388
smr-5000EUR,CZ,Y,ecars,production_TWh,0.0
smr-5000EUR,CZ,Y,heat-flex,production_TWh,1.6684588659032782
smr-5000EUR,CZ,Y,h2,production_TWh,0.0
smr-5000EUR,CZ,Y,h2p,production_TWh,0.0
smr-5000EUR,CZ,Y,h_ror,production_TWh,0.9670537958941956
smr-5000EUR,CZ,Y,pump_open,production_TWh,0.33468718249404783
smr-5000EUR,CZ,Y,pump,production_TWh,0.4609458443053315
smr-5000EUR,CZ,Y,h_dams,production_TWh,0.9180129669389795
smr-5000EUR,CZ,Y,TOTAL,production_TWh,118.44246219222194
smr-5000EUR,CZ,S,solar,production_TWh,10.615455472418374
smr-5000EUR,CZ,S,onshore,production_TWh,9.22137356111002
smr-5000EUR,CZ,S,offshore,production_TWh,0.0
smr-5000EUR,CZ,S,nuclear,production_TWh,22.17040234741784
smr-5000EUR,CZ,S,smr,production_TWh,11.293494283636607
smr-5000EUR,CZ,S,gas_ccgt_ccs,production_TWh,0.0
smr-5000EUR,CZ,S,b_CHP,production_TWh,0.0
smr-5000EUR,CZ,S,gas_peak,production_TWh,0.0
smr-5000EUR,CZ,S,dsr,production_TWh,0.0
smr-5000EUR,CZ,S,eens,production_TWh,0.0
smr-5000EUR,CZ,S,li-2,production_TWh,1.2857599966077022
smr-5000EUR,CZ,S,v2g,production_TWh,0.33914094409989454
smr-5000EUR,CZ,S,ecars,production_TWh,0.0
smr-5000EUR,CZ,S,heat-flex,production_TWh,0.03547661843909131
smr-5000EUR,CZ,S,h2,production_TWh,0.0
smr-5000EUR,CZ,S,h2p,production_TWh,0.0
smr-5000EUR,CZ,S,h_ror,production_TWh,0.4494875927851159
smr-5000EUR,CZ,S,pump_open,production_TWh,0.19737352409546818
smr-5000EUR,CZ,S,pump,production_TWh,0.2783480730391322
smr-5000EUR,CZ,S,h_dams,production_TWh,0.4226124870842857
smr-5000EUR,CZ,S,TOTAL,production_TWh,236.88492438444388
smr-5000EUR,CZ,W,solar,production_TWh,4.908636920993563
smr-5000EUR,CZ,W,onshore,production_TWh,17.525494379609494
smr-5000EUR,CZ,W,offshore,production_TWh,0.0
smr-5000EUR,CZ,W,nuclear,production_TWh,22.859687699530518
smr-5000EUR,CZ,W,smr,production_TWh,11.401185952715721
smr-5000EUR,CZ,W,gas_ccgt_ccs,production_TWh,0.0
smr-5000EUR,CZ,W,b_CHP,production_TWh,0.7164021280474607
smr-5000EUR,CZ,W,gas_peak,production_TWh,0.0
smr-5000EUR,CZ,W,dsr,production_TWh,0.0
smr-5000EUR,CZ,W,eens,production_TWh,0.0
smr-5000EUR,CZ,W,li-2,production_TWh,0.937259169505179
smr-5000EUR,CZ,W,v2g,production_TWh,0.22536493005096067
smr-5000EUR,CZ,W,ecars,production_TWh,0.0
smr-5000EUR,CZ,W,heat-flex,production_TWh,1.6328837834390788
smr-5000EUR,CZ,W,h2,production_TWh,0.0
smr-5000EUR,CZ,W,h2p,production_TWh,0.0
smr-5000EUR,CZ,W,h_ror,production_TWh,0.5113450014531888
smr-5000EUR,CZ,W,pump_open,production_TWh,0.13312337625572254
smr-5000EUR,CZ,W,pump,production_TWh,0.17506656319849867
smr-5000EUR,CZ,W,h_dams,production_TWh,0.48815496142394543
smr-5000EUR,CZ,W,TOTAL,production_TWh,236.88492438444388
smr-5000EUR,CZ,Y,solar,production_used_TWh,15.577390427885732
smr-5000EUR,CZ,Y,onshore,production_used_TWh,26.788568795169223
smr-5000EUR,CZ,Y,offshore,production_used_TWh,0.0
smr-5000EUR,CZ,S,solar,production_used_TWh,10.581749511005098
smr-5000EUR,CZ,S,onshore,production_used_TWh,9.194468424528992
smr-5000EUR,CZ,S,offshore,production_used_TWh,0.0
smr-5000EUR,CZ,W,solar,production_used_TWh,4.862564845440429
