name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,32.93622381732569
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,0.33996197174057885
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,6.440433572598856
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,2.8930391236425357
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,90.90461816513421
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.49922882219279
nuclear-0,CZ,S,TOTAL,load_TWh,45.07964755612426
nuclear-0,CZ,W,TOTAL,load_TWh,62.408638431898794
nuclear-0,CZ,Y,TOTAL,import_TWh,34.85374831255295
nuclear-0,CZ,S,TOTAL,import_TWh,12.41320404822857
nuclear-0,CZ,W,TOTAL,import_TWh,22.439866584135252
nuclear-0,CZ,Y,TOTAL,export_TWh,10.523173487036612
nuclear-0,CZ,S,TOTAL,export_TWh,7.462347587631575
nuclear-0,CZ,W,TOTAL,export_TWh,3.060825899405037
nuclear-0,CZ,Y,TOTAL,net_import_TWh,24.33057482551634
nuclear-0,CZ,S,TOTAL,net_import_TWh,4.950856460596995
nuclear-0,CZ,W,TOTAL,net_import_TWh,19.379040684730214
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.8944651692682253
nuclear-0,CZ,S,TOTAL,curtailment_TWh,1.3240116121505998
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.5704535571176257
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,102.77963706434086
nuclear-0,CZ,Y,solar,production_TWh,36.20583583650648
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,0.9442937997512946
nuclear-0,CZ,Y,b_CHP,production_TWh,1.8152915759994817
nuclear-0,CZ,Y,biogas,production_TWh,1.0180259488883814
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.0
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,3.991260189258472
nuclear-0,CZ,Y,v2g,production_TWh,0.7429263021788006
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.564893623113847
nuclear-0,CZ,Y,h2,production_TWh,2.8512560736981754
nuclear-0,CZ,Y,h2p,production_TWh,0.0
nuclear-0,CZ,Y,h_ror,production_TWh,0.9401364153462043
nuclear-0,CZ,Y,pump_open,production_TWh,0.4926608734612064
nuclear-0,CZ,Y,pump,production_TWh,0.7048570537402377
nuclear-0,CZ,Y,h_dams,production_TWh,0.9179124205032652
nuclear-0,CZ,Y,TOTAL,production_TWh,93.46884897058902
nuclear-0,CZ,S,solar,production_TWh,24.676227339595215
nuclear-0,CZ,S,onshore,production_TWh,9.264745894555306
nuclear-0,CZ,S,offshore,production_TWh,0.0
nuclear-0,CZ,S,nuclear,production_TWh,7.1118957449962945
nuclear-0,CZ,S,smr,production_TWh,0.0
nuclear-0,CZ,S,gas_ccgt_ccs,production_TWh,0.03054587612554862
nuclear-0,CZ,S,b_CHP,production_TWh,0.04471461979635239
nuclear-0,CZ,S,biogas,production_TWh,0.0171599298191977
nuclear-0,CZ,S,gas_peak,production_TWh,0.0
nuclear-0,CZ,S,dsr,production_TWh,0.0
nuclear-0,CZ,S,eens,production_TWh,0.0
nuclear-0,CZ,S,li-2,production_TWh,2.2697625291722754
nuclear-0,CZ,S,v2g,production_TWh,0.4457152101709796
nuclear-0,CZ,S,ecars,production_TWh,0.0
nuclear-0,CZ,S,heat-flex,production_TWh,0.0366514958068345
nuclear-0,CZ,S,h2,production_TWh,0.0211797892792935
nuclear-0,CZ,S,h2p,production_TWh,0.0
nuclear-0,CZ,S,h_ror,production_TWh,0.42892025444885523
nuclear-0,CZ,S,pump_open,production_TWh,0.29937583300563797
nuclear-0,CZ,S,pump,production_TWh,0.4384316012830758
nuclear-0,CZ,S,h_dams,production_TWh,0.4241746801810104
nuclear-0,CZ,S,TOTAL,production_TWh,186.93769794117804
nuclear-0,CZ,W,solar,production_TWh,11.529608496911262
nuclear-0,CZ,W,onshore,production_TWh,17.579223376200066
nuclear-0,CZ,W,offshore,production_TWh,0.0
nuclear-0,CZ,W,nuclear,production_TWh,7.318009256239191
nuclear-0,CZ,W,smr,production_TWh,0.0
nuclear-0,CZ,W,gas_ccgt_ccs,production_TWh,0.9134079616540051
nuclear-0,CZ,W,b_CHP,production_TWh,1.7698769562031293
nuclear-0,CZ,W,biogas,production_TWh,1.0001810190691838
nuclear-0,CZ,W,gas_peak,production_TWh,0.0
nuclear-0,CZ,W,dsr,production_TWh,0.0
nuclear-0,CZ,W,eens,production_TWh,0.0
nuclear-0,CZ,W,li-2,production_TWh,1.721497660086197
nuclear-0,CZ,W,v2g,production_TWh,0.2972110920078209
nuclear-0,CZ,W,ecars,production_TWh,0.0
nuclear-0,CZ,W,heat-flex,production_TWh,1.5262797712686857
nuclear-0,CZ,W,h2,production_TWh,2.827183245295239
nuclear-0,CZ,W,h2p,production_TWh,0.0
nuclear-0,CZ,W,h_ror,production_TWh,0.511216160897349
nuclear-0,CZ,W,pump_open,production_TWh,0.19328504045556832
nuclear-0,CZ,W,pump,production_TWh,0.26642545245716176
nuclear-0,CZ,W,h_dams,production_TWh,0.4937151735893296
nuclear-0,CZ,W,TOTAL,production_TWh,186.93769794117804
nuclear-0,CZ,Y,solar,production_used_TWh,34.60646389289472
nuclear-0,CZ,Y,onshore,production_used_TWh,26.552805353267527
nuclear-0,CZ,Y,offshore,production_used_TWh,0.0
nuclear-0,CZ,S,solar,production_used_TWh,23.524875316130846
nuclear-0,CZ,S,onshore,production_used_TWh,9.092086305869074
nuclear-0,CZ,S,offshore,production_used_TWh,0.0
nuclear-0,CZ,W,solar,production_used_TWh,11.081588576763876
nuclear-0,CZ,W,onshore,production_used_TWh,17.456859739229824
