name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,25.447210960456484
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,0.0
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,5.317081644068473
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,0.38045714648560214
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,79.43970943083711
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,87.0497396551337
nuclear-0,CZ,S,TOTAL,load_TWh,36.586295824995226
nuclear-0,CZ,W,TOTAL,load_TWh,50.45468956280268
nuclear-0,CZ,Y,TOTAL,import_TWh,27.46889940207062
nuclear-0,CZ,S,TOTAL,import_TWh,9.140378716339159
nuclear-0,CZ,W,TOTAL,import_TWh,18.327179028427384
nuclear-0,CZ,Y,TOTAL,export_TWh,12.05173110764774
nuclear-0,CZ,S,TOTAL,export_TWh,7.639670066457791
nuclear-0,CZ,W,TOTAL,export_TWh,4.41206104118995
nuclear-0,CZ,Y,TOTAL,net_import_TWh,15.41716829442288
nuclear-0,CZ,S,TOTAL,net_import_TWh,1.5007086498813678
nuclear-0,CZ,W,TOTAL,net_import_TWh,13.915117987237434
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.2512117416818387
nuclear-0,CZ,S,TOTAL,curtailment_TWh,0.7655523909096437
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.485659350772195
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,102.77963706434086
nuclear-0,CZ,Y,solar,production_TWh,27.973381151441455
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,0.0
nuclear-0,CZ,Y,b_CHP,production_TWh,1.369256607861138
nuclear-0,CZ,Y,biogas,production_TWh,0.8652172059694573
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.0
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,3.2998939567963452
nuclear-0,CZ,Y,v2g,production_TWh,0.7104737523380952
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.2695603650889546
nuclear-0,CZ,Y,h2,production_TWh,0.33588045759768004
nuclear-0,CZ,Y,h2p,production_TWh,0.0
nuclear-0,CZ,Y,h_ror,production_TWh,0.9388985882601387
nuclear-0,CZ,Y,pump_open,production_TWh,0.45116308513680997
nuclear-0,CZ,Y,pump,production_TWh,0.6421574503555427
nuclear-0,CZ,Y,h_dams,production_TWh,0.91597244012551
nuclear-0,CZ,Y,TOTAL,production_TWh,80.05135391911429
nuclear-0,CZ,S,solar,production_TWh,19.065366032900915
nuclear-0,CZ,S,onshore,production_TWh,9.264745894555306
nuclear-0,CZ,S,offshore,production_TWh,0.0
nuclear-0,CZ,S,nuclear,production_TWh,7.1118957449962945
nuclear-0,CZ,S,smr,production_TWh,0.0
nuclear-0,CZ,S,gas_ccgt_ccs,production_TWh,0.0
nuclear-0,CZ,S,b_CHP,production_TWh,0.01428
nuclear-0,CZ,S,biogas,production_TWh,0.011421967100111815
nuclear-0,CZ,S,gas_peak,production_TWh,0.0
nuclear-0,CZ,S,dsr,production_TWh,0.0
nuclear-0,CZ,S,eens,production_TWh,0.0
nuclear-0,CZ,S,li-2,production_TWh,1.8803320777963612
nuclear-0,CZ,S,v2g,production_TWh,0.43306121213693416
nuclear-0,CZ,S,ecars,production_TWh,0.0
nuclear-0,CZ,S,heat-flex,production_TWh,0.02928813066550396
nuclear-0,CZ,S,h2,production_TWh,0.002663200025399219
nuclear-0,CZ,S,h2p,production_TWh,0.0
nuclear-0,CZ,S,h_ror,production_TWh,0.43296026277762545
nuclear-0,CZ,S,pump_open,production_TWh,0.2594361917294984
nuclear-0,CZ,S,pump,production_TWh,0.37599200687378315
nuclear-0,CZ,S,h_dams,production_TWh,0.42437015963367336
nuclear-0,CZ,S,TOTAL,production_TWh,160.10270783822858
nuclear-0,CZ,W,solar,production_TWh,8.908015118540543
nuclear-0,CZ,W,onshore,production_TWh,17.579223376200066
nuclear-0,CZ,W,offshore,production_TWh,0.0
nuclear-0,CZ,W,nuclear,production_TWh,7.318009256239191
nuclear-0,CZ,W,smr,production_TWh,0.0
nuclear-0,CZ,W,gas_ccgt_ccs,production_TWh,0.0
nuclear-0,CZ,W,b_CHP,production_TWh,1.354276607861138
nuclear-0,CZ,W,biogas,production_TWh,0.8531102388693456
nuclear-0,CZ,W,gas_peak,production_TWh,0.0
nuclear-0,CZ,W,dsr,production_TWh,0.0
nuclear-0,CZ,W,eens,production_TWh,0.0
nuclear-0,CZ,W,li-2,production_TWh,1.4195618789999844
nuclear-0,CZ,W,v2g,production_TWh,0.2774125402011611
nuclear-0,CZ,W,ecars,production_TWh,0.0
nuclear-0,CZ,W,heat-flex,production_TWh,1.2387023495927891
nuclear-0,CZ,W,h2,production_TWh,0.3328368004257952
nuclear-0,CZ,W,h2p,production_TWh,0.0
nuclear-0,CZ,W,h_ror,production_TWh,0.5059383254825134
nuclear-0,CZ,W,pump_open,production_TWh,0.19172689340731158
nuclear-0,CZ,W,pump,production_TWh,0.2661654434817596
nuclear-0,CZ,W,h_dams,production_TWh,0.49157971375891146
