name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,28.329719256601905
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,0.0
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,5.749457888490284
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,0.15068062741197427
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,82.52481745233071
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.4942471182174568
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,87.05338674627711
nuclear-0,CZ,S,TOTAL,load_TWh,36.58667378671726
nuclear-0,CZ,W,TOTAL,load_TWh,50.45795869222405
nuclear-0,CZ,Y,TOTAL,import_TWh,30.45581505649462
nuclear-0,CZ,S,TOTAL,import_TWh,10.432549380039882
nuclear-0,CZ,W,TOTAL,import_TWh,20.020435676491633
nuclear-0,CZ,Y,TOTAL,export_TWh,16.924857938606554
nuclear-0,CZ,S,TOTAL,export_TWh,10.180572265850019
nuclear-0,CZ,W,TOTAL,export_TWh,6.7441291066165805
nuclear-0,CZ,Y,TOTAL,net_import_TWh,13.530957117888068
nuclear-0,CZ,S,TOTAL,net_import_TWh,0.251977114189863
nuclear-0,CZ,W,TOTAL,net_import_TWh,13.276306569875054
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.4343343170291323
nuclear-0,CZ,S,TOTAL,curtailment_TWh,0.8716010154934996
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.5627333015356327
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,161.95829335969972
nuclear-0,CZ,Y,solar,production_TWh,31.142038941309583
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,0.0
nuclear-0,CZ,Y,b_CHP,production_TWh,1.7128913341247682
nuclear-0,CZ,Y,biogas,production_TWh,0.9221695858204814
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.005453047275543213
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,3.6898665548765437
