name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,35.25688492928142
nuclear-0,CZ,Y,onshore,capacity_GW,12.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,2.8237743642819537
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,9.19031088267337
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,2.9610707883425302
nuclear-0,CZ,Y,h2p,capacity_GW,1.0110163000971517
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,100.85301694450297
nuclear-0,CZ,Y,h2,capacity_charging_GW,1.5828477288944454
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.50763148691132
nuclear-0,CZ,S,TOTAL,load_TWh,44.84532970720285
nuclear-0,CZ,W,TOTAL,load_TWh,62.18914288003238
nuclear-0,CZ,Y,TOTAL,import_TWh,21.206767703132947
nuclear-0,CZ,S,TOTAL,import_TWh,8.995950108036533
nuclear-0,CZ,W,TOTAL,import_TWh,12.147332356250773
nuclear-0,CZ,Y,TOTAL,export_TWh,10.57789984032269
nuclear-0,CZ,S,TOTAL,export_TWh,5.5917845889729945
nuclear-0,CZ,W,TOTAL,export_TWh,4.919010358146834
nuclear-0,CZ,Y,TOTAL,net_import_TWh,10.628867862810257
nuclear-0,CZ,S,TOTAL,net_import_TWh,3.4041655190635387
nuclear-0,CZ,W,TOTAL,net_import_TWh,7.228321998103939
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,3.2528155966803567
nuclear-0,CZ,S,TOTAL,curtailment_TWh,2.596079428575762
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.5989223314559086
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,23.745177150390468
nuclear-0,CZ,Y,solar,production_TWh,38.75687130789635
nuclear-0,CZ,Y,onshore,production_TWh,32.2173942947088
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,9.999999999999638
nuclear-0,CZ,Y,b_CHP,production_TWh,2.1956819333466764
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.0
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,5.7324025487744885
nuclear-0,CZ,Y,v2g,production_TWh,0.7920318688365501
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.7239236612947644
nuclear-0,CZ,Y,h2,production_TWh,4.029376596910284
nuclear-0,CZ,Y,h2p,production_TWh,0.5831624418632326
nuclear-0,CZ,Y,h_ror,production_TWh,0.9270627819841095
nuclear-0,CZ,Y,pump_open,production_TWh,0.6152576793770715
nuclear-0,CZ,Y,pump,production_TWh,0.9173629174274381
nuclear-0,CZ,Y,h_dams,production_TWh,0.9180594064326528
nuclear-0,CZ,Y,TOTAL,production_TWh,113.8402577180712
nuclear-0,CZ,S,solar,production_TWh,26.276899462556056
nuclear-0,CZ,S,onshore,production_TWh,11.065648273332027
nuclear-0,CZ,S,offshore,production_TWh,0.0
nuclear-0,CZ,S,nuclear,production_TWh,7.069818705213739
nuclear-0,CZ,S,smr,production_TWh,0.0
