name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,33.80061005271741
nuclear-0,CZ,Y,onshore,capacity_GW,12.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,2.594986249406658
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,7.222775085389008
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,5.862612794047166
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,99.09094386138679
nuclear-0,CZ,Y,h2,capacity_charging_GW,1.3637915827504443
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.503312118569
nuclear-0,CZ,S,TOTAL,load_TWh,44.855843863849046
nuclear-0,CZ,W,TOTAL,load_TWh,62.16983882212412
nuclear-0,CZ,Y,TOTAL,import_TWh,17.98611420789736
nuclear-0,CZ,S,TOTAL,import_TWh,8.037643527160633
nuclear-0,CZ,W,TOTAL,import_TWh,9.88427739666523
nuclear-0,CZ,Y,TOTAL,export_TWh,9.067160877587014
nuclear-0,CZ,S,TOTAL,export_TWh,3.956228069433323
nuclear-0,CZ,W,TOTAL,export_TWh,5.05644609055476
nuclear-0,CZ,Y,TOTAL,net_import_TWh,8.918953330310345
nuclear-0,CZ,S,TOTAL,net_import_TWh,4.08141545772731
nuclear-0,CZ,W,TOTAL,net_import_TWh,4.827831306110469
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,3.584542442580782
