name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,34.144867007481224
nuclear-0,CZ,Y,onshore,capacity_GW,12.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,0.7436123466256883
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,7.156917426011943
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,1.4643640323407392
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,93.80472049228615
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.38079387413412213
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.50457862414619
nuclear-0,CZ,S,TOTAL,load_TWh,45.077341887698964
nuclear-0,CZ,W,TOTAL,load_TWh,62.41629390227747
nuclear-0,CZ,Y,TOTAL,import_TWh,34.69624136798192
nuclear-0,CZ,S,TOTAL,import_TWh,12.49491063154903
nuclear-0,CZ,W,TOTAL,import_TWh,22.198299893256436
nuclear-0,CZ,Y,TOTAL,export_TWh,15.837059955524165
nuclear-0,CZ,S,TOTAL,export_TWh,9.878738209692264
nuclear-0,CZ,W,TOTAL,export_TWh,5.95622174592727
nuclear-0,CZ,Y,TOTAL,net_import_TWh,18.859181412457755
nuclear-0,CZ,S,TOTAL,net_import_TWh,2.616172421856767
nuclear-0,CZ,W,TOTAL,net_import_TWh,16.242078147329167
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.9733230463424816
nuclear-0,CZ,S,TOTAL,curtailment_TWh,1.2881759780054234
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.6851470683370584
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,161.95829335969972
nuclear-0,CZ,Y,solar,production_TWh,37.53446225009866
nuclear-0,CZ,Y,onshore,production_TWh,32.2173942947088
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,2.082581026578326
nuclear-0,CZ,Y,b_CHP,production_TWh,1.8615443543662462
nuclear-0,CZ,Y,biogas,production_TWh,1.0294172534225883
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.005692654188175061
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,4.571190759388275
nuclear-0,CZ,Y,v2g,production_TWh,0.7460954019060381
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.666763038073562
nuclear-0,CZ,Y,h2,production_TWh,1.508466822479564
nuclear-0,CZ,Y,h2p,production_TWh,0.0
nuclear-0,CZ,Y,h_ror,production_TWh,0.9365984861117912
nuclear-0,CZ,Y,pump_open,production_TWh,0.5169954770070756
nuclear-0,CZ,Y,pump,production_TWh,0.7497892103071111
nuclear-0,CZ,Y,h_dams,production_TWh,0.9180129669389794
nuclear-0,CZ,Y,TOTAL,production_TWh,100.77667427479436
nuclear-0,CZ,S,solar,production_TWh,25.581757806540935
nuclear-0,CZ,S,onshore,production_TWh,11.117695073466368
nuclear-0,CZ,S,offshore,production_TWh,0.0
nuclear-0,CZ,S,nuclear,production_TWh,7.1118957449962945
nuclear-0,CZ,S,smr,production_TWh,0.0
nuclear-0,CZ,S,gas_ccgt_ccs,production_TWh,0.15776295957732578
nuclear-0,CZ,S,b_CHP,production_TWh,0.092085
nuclear-0,CZ,S,biogas,production_TWh,0.046150415940141506
nuclear-0,CZ,S,gas_peak,production_TWh,0.0
nuclear-0,CZ,S,dsr,production_TWh,0.0
nuclear-0,CZ,S,eens,production_TWh,0.0
nuclear-0,CZ,S,li-2,production_TWh,2.5401726006386784
nuclear-0,CZ,S,v2g,production_TWh,0.45430514255487553
nuclear-0,CZ,S,ecars,production_TWh,0.0
nuclear-0,CZ,S,heat-flex,production_TWh,0.03673172372291026
nuclear-0,CZ,S,h2,production_TWh,0.024939131936267456
nuclear-0,CZ,S,h2p,production_TWh,0.0
nuclear-0,CZ,S,h_ror,production_TWh,0.42917280576855504
nuclear-0,CZ,S,pump_open,production_TWh,0.3103460211004358
nuclear-0,CZ,S,pump,production_TWh,0.46065223569740804
nuclear-0,CZ,S,h_dams,production_TWh,0.42443972872530605
nuclear-0,CZ,S,TOTAL,production_TWh,201.55334854958872
nuclear-0,CZ,W,solar,production_TWh,11.952704443557725
nuclear-0,CZ,W,onshore,production_TWh,21.09506805144008
nuclear-0,CZ,W,offshore,production_TWh,0.0
nuclear-0,CZ,W,nuclear,production_TWh,7.318009256239191
nuclear-0,CZ,W,smr,production_TWh,0.0
nuclear-0,CZ,W,gas_ccgt_ccs,production_TWh,1.9240744546543742
nuclear-0,CZ,W,b_CHP,production_TWh,1.768759354366246
nuclear-0,CZ,W,biogas,production_TWh,0.9825818374824468
nuclear-0,CZ,W,gas_peak,production_TWh,0.0
nuclear-0,CZ,W,dsr,production_TWh,0.005692654188175061
nuclear-0,CZ,W,eens,production_TWh,0.0
nuclear-0,CZ,W,li-2,production_TWh,2.031018158749597
nuclear-0,CZ,W,v2g,production_TWh,0.29179025935116254
nuclear-0,CZ,W,ecars,production_TWh,0.0
nuclear-0,CZ,W,heat-flex,production_TWh,1.6280689583123251
nuclear-0,CZ,W,h2,production_TWh,1.482063326510956
nuclear-0,CZ,W,h2p,production_TWh,0.0
nuclear-0,CZ,W,h_ror,production_TWh,0.5074256803432362
nuclear-0,CZ,W,pump_open,production_TWh,0.2066494559066399
nuclear-0,CZ,W,pump,production_TWh,0.28913697460970317
nuclear-0,CZ,W,h_dams,production_TWh,0.4935506714807482
nuclear-0,CZ,W,TOTAL,production_TWh,201.55334854958872
nuclear-0,CZ,Y,solar,production_used_TWh,35.93328423207872
nuclear-0,CZ,Y,onshore,production_used_TWh,31.84524926638626
nuclear-0,CZ,Y,offshore,production_used_TWh,0.0
nuclear-0,CZ,S,solar,production_used_TWh,24.4932370312062
nuclear-0,CZ,S,onshore,production_used_TWh,10.918039870795683
nuclear-0,CZ,S,offshore,production_used_TWh,0.0
nuclear-0,CZ,W,solar,production_used_TWh,11.440047200872515
nuclear-0,CZ,W,onshore,production_used_TWh,20.92257822578823
nuclear-0,CZ,W,offshore,production_used_TWh,0.0
nuclear-0,CZ,Y,solar,production_excess_TWh,1.6011780180199482
