name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,70.0
nuclear-0,CZ,Y,onshore,capacity_GW,3.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,0.0
nuclear-0,CZ,Y,b_CHP,capacity_GW,1.5611339369455839
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,22.665462930634472
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,11.650068632702972
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,145.7866251801096
nuclear-0,CZ,Y,h2,capacity_charging_GW,8.653730204056517
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,127.92699750163136
nuclear-0,CZ,S,TOTAL,load_TWh,53.33679291645628
nuclear-0,CZ,W,TOTAL,load_TWh,74.01829295192775
nuclear-0,CZ,Y,TOTAL,import_TWh,23.892975673305738
nuclear-0,CZ,S,TOTAL,import_TWh,10.777488328393584
nuclear-0,CZ,W,TOTAL,import_TWh,12.993730035334167
nuclear-0,CZ,Y,TOTAL,export_TWh,8.072579741493325
nuclear-0,CZ,S,TOTAL,export_TWh,4.106882335214889
nuclear-0,CZ,W,TOTAL,export_TWh,3.913497299395036
nuclear-0,CZ,Y,TOTAL,net_import_TWh,15.820395931812413
nuclear-0,CZ,S,TOTAL,net_import_TWh,6.670605993178695
nuclear-0,CZ,W,TOTAL,net_import_TWh,9.08023273593913
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,6.778882576714189
nuclear-0,CZ,S,TOTAL,curtailment_TWh,5.962286072586873
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.6899240350567767
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,0.8757847648646094
nuclear-0,CZ,Y,solar,production_TWh,76.94897030734468
nuclear-0,CZ,Y,onshore,production_TWh,8.0543485736772
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,0.0
nuclear-0,CZ,Y,b_CHP,production_TWh,7.9148069125627
nuclear-0,CZ,Y,gas_peak,production_TWh,0.0
nuclear-0,CZ,Y,dsr,production_TWh,0.0
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,12.596666145959574
nuclear-0,CZ,Y,v2g,production_TWh,0.70913259965672
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.4405073225010845
nuclear-0,CZ,Y,h2,production_TWh,24.881027916465204
nuclear-0,CZ,Y,h2p,production_TWh,0.0
nuclear-0,CZ,Y,h_ror,production_TWh,0.9200806936311134
nuclear-0,CZ,Y,pump_open,production_TWh,0.601181122604354
nuclear-0,CZ,Y,pump,production_TWh,0.90416665689256
nuclear-0,CZ,Y,h_dams,production_TWh,0.9180594064326529
nuclear-0,CZ,Y,TOTAL,production_TWh,150.32061793694703
nuclear-0,CZ,S,solar,production_TWh,52.170887078321734
nuclear-0,CZ,S,onshore,production_TWh,2.7664120683330067
nuclear-0,CZ,S,offshore,production_TWh,0.0
