name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,23.449475569586617
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,3.454307977000839
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7387511897840875
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,5.017421335437988
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,5.589997038893446
nuclear-0,CZ,Y,h2p,capacity_GW,0.0
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,85.15991279052952
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.49652603557979
nuclear-0,CZ,S,TOTAL,load_TWh,44.87434820760522
nuclear-0,CZ,W,TOTAL,load_TWh,62.14190399023594
nuclear-0,CZ,Y,TOTAL,import_TWh,24.616723829505453
nuclear-0,CZ,S,TOTAL,import_TWh,11.794120559893981
nuclear-0,CZ,W,TOTAL,import_TWh,12.705980632241003
nuclear-0,CZ,Y,TOTAL,export_TWh,4.571527652877739
nuclear-0,CZ,S,TOTAL,export_TWh,1.4493546307326957
nuclear-0,CZ,W,TOTAL,export_TWh,3.090305228094624
nuclear-0,CZ,Y,TOTAL,net_import_TWh,20.045196176627712
nuclear-0,CZ,S,TOTAL,net_import_TWh,10.344765929161285
nuclear-0,CZ,W,TOTAL,net_import_TWh,9.61567540414638
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,1.2441126816618038
nuclear-0,CZ,S,TOTAL,curtailment_TWh,1.034560543362269
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.19665726388062754
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,0.8757847648646094
nuclear-0,CZ,Y,solar,production_TWh,25.77732856181322
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
