name,region,season,source,stat,val
nuclear-0,CZ,Y,solar,capacity_GW,21.929640372134035
nuclear-0,CZ,Y,onshore,capacity_GW,10.0
nuclear-0,CZ,Y,offshore,capacity_GW,0.0
nuclear-0,CZ,Y,nuclear,capacity_GW,2.06
nuclear-0,CZ,Y,smr,capacity_GW,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,capacity_GW,3.565715871821622
nuclear-0,CZ,Y,b_CHP,capacity_GW,0.7
nuclear-0,CZ,Y,biogas,capacity_GW,0.685
nuclear-0,CZ,Y,gas_peak,capacity_GW,0.0
nuclear-0,CZ,Y,dsr,capacity_GW,1.3632618188858032
nuclear-0,CZ,Y,li-2,capacity_GW,4.789446055820101
nuclear-0,CZ,Y,v2g,capacity_GW,0.5167060801188149
nuclear-0,CZ,Y,ecars,capacity_GW,0.0
nuclear-0,CZ,Y,heat-flex,capacity_GW,30.682191780821917
nuclear-0,CZ,Y,h2,capacity_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_GW,0.33136872587738564
nuclear-0,CZ,Y,h_ror,capacity_GW,0.43163
nuclear-0,CZ,Y,pump_open,capacity_GW,0.4704
nuclear-0,CZ,Y,pump,capacity_GW,0.6880499999999999
nuclear-0,CZ,Y,h_dams,capacity_GW,0.6977199999999999
nuclear-0,CZ,Y,TOTAL,capacity_GW,78.91113070547968
nuclear-0,CZ,Y,h2,capacity_charging_GW,0.0
nuclear-0,CZ,Y,h2p,capacity_charging_GW,0.0
nuclear-0,CZ,Y,TOTAL,load_TWh,107.50097447803388
nuclear-0,CZ,S,TOTAL,load_TWh,45.0791445830002
nuclear-0,CZ,W,TOTAL,load_TWh,62.41088706086394
nuclear-0,CZ,Y,TOTAL,import_TWh,39.845384917729255
nuclear-0,CZ,S,TOTAL,import_TWh,16.898282717555553
nuclear-0,CZ,W,TOTAL,import_TWh,22.944657234856386
nuclear-0,CZ,Y,TOTAL,export_TWh,11.617899666357793
nuclear-0,CZ,S,TOTAL,export_TWh,5.688382291589886
nuclear-0,CZ,W,TOTAL,export_TWh,5.927417374863275
nuclear-0,CZ,Y,TOTAL,net_import_TWh,28.227485251371462
nuclear-0,CZ,S,TOTAL,net_import_TWh,11.209900425965667
nuclear-0,CZ,W,TOTAL,net_import_TWh,17.01723985999311
nuclear-0,CZ,Y,TOTAL,curtailment_TWh,0.38039269252520397
nuclear-0,CZ,S,TOTAL,curtailment_TWh,0.18882218587786678
nuclear-0,CZ,W,TOTAL,curtailment_TWh,0.19157050664733716
nuclear-0,CZ,Y,TOTAL,interconnector_capex_mn_EUR_per_yr,161.95829335969972
nuclear-0,CZ,Y,solar,production_TWh,24.106617797801277
nuclear-0,CZ,Y,onshore,production_TWh,26.847828578924002
nuclear-0,CZ,Y,offshore,production_TWh,0.0
nuclear-0,CZ,Y,nuclear,production_TWh,14.431670279219176
nuclear-0,CZ,Y,smr,production_TWh,0.0
nuclear-0,CZ,Y,gas_ccgt_ccs,production_TWh,9.99999999999951
nuclear-0,CZ,Y,b_CHP,production_TWh,2.0709312021092674
nuclear-0,CZ,Y,biogas,production_TWh,0.9909261612805681
nuclear-0,CZ,Y,gas_peak,production_TWh,-9.860761315262648e-35
nuclear-0,CZ,Y,dsr,production_TWh,0.005453047275543213
nuclear-0,CZ,Y,eens,production_TWh,0.0
nuclear-0,CZ,Y,li-2,production_TWh,3.1159395924079427
nuclear-0,CZ,Y,v2g,production_TWh,0.7633775911119107
nuclear-0,CZ,Y,ecars,production_TWh,0.0
nuclear-0,CZ,Y,heat-flex,production_TWh,1.5982954450909246
nuclear-0,CZ,Y,h2,production_TWh,-5.2000346323644005e-16
nuclear-0,CZ,Y,h2p,production_TWh,0.11827356405135608
nuclear-0,CZ,Y,h_ror,production_TWh,0.95000966793697
nuclear-0,CZ,Y,pump_open,production_TWh,0.46118635047633877
nuclear-0,CZ,Y,pump,production_TWh,0.665921500132012
nuclear-0,CZ,Y,h_dams,production_TWh,0.917491182732653
nuclear-0,CZ,Y,TOTAL,production_TWh,87.04392196054943
nuclear-0,CZ,S,solar,production_TWh,16.42995852529046
nuclear-0,CZ,S,onshore,production_TWh,9.264745894555306
nuclear-0,CZ,S,offshore,production_TWh,0.0
nuclear-0,CZ,S,nuclear,production_TWh,7.1118957449962945
nuclear-0,CZ,S,smr,production_TWh,0.0
nuclear-0,CZ,S,gas_ccgt_ccs,production_TWh,0.6932135519196042
nuclear-0,CZ,S,b_CHP,production_TWh,0.140411758749647
nuclear-0,CZ,S,biogas,production_TWh,0.03219500000000001
nuclear-0,CZ,S,gas_peak,production_TWh,0.0
nuclear-0,CZ,S,dsr,production_TWh,0.0
nuclear-0,CZ,S,eens,production_TWh,0.0
nuclear-0,CZ,S,li-2,production_TWh,1.7135636157249723
nuclear-0,CZ,S,v2g,production_TWh,0.45075884847278275
nuclear-0,CZ,S,ecars,production_TWh,0.0
nuclear-0,CZ,S,heat-flex,production_TWh,0.03635160019388524
nuclear-0,CZ,S,h2,production_TWh,-1.4385953421751148e-18
nuclear-0,CZ,S,h2p,production_TWh,0.0
nuclear-0,CZ,S,h_ror,production_TWh,0.4411873448768916
nuclear-0,CZ,S,pump_open,production_TWh,0.2749316583206848
nuclear-0,CZ,S,pump,production_TWh,0.4056645373633289
nuclear-0,CZ,S,h_dams,production_TWh,0.42363262571997956
nuclear-0,CZ,S,TOTAL,production_TWh,174.08784392109885
nuclear-0,CZ,W,solar,production_TWh,7.676659272510816
nuclear-0,CZ,W,onshore,production_TWh,17.579223376200066
nuclear-0,CZ,W,offshore,production_TWh,0.0
